Name;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Seimone Delicia Augustus;F;28;183;163,1420739;United States;Basketball;Basketball Women's Basketball;Gold
Apti Khamzatovich Aukhadov;M;19;178;187,3929227;Russia;Weightlifting;Weightlifting Men's Light-Heavyweight;Silver
Mariana Avitia Martnez;F;18;164;134,4819798;Mexico;Archery;Archery Women's Individual;Bronze
Giorgio Avola;M;23;178;158,7328286;Italy;Fencing;Fencing Men's Foil, Team;Gold
Suguru Awaji;M;22;174;147,7097155;Japan;Fencing;Fencing Men's Foil, Team;Silver
"Luciana Paula ""Lucha"" Aymar";F;34;178;130,0727346;Argentina;Hockey;Hockey Women's Hockey;Silver
David Valeryevich Ayrapetyan;M;28;158;108,0265084;Russia;Boxing;Boxing Men's Light-Flyweight;Bronze
"Viktoriya Fyodorovna ""Vika"" Azarenko";F;22;183;132,2773572;Belarus;Tennis;Tennis Women's Singles;Bronze
"Viktoriya Fyodorovna ""Vika"" Azarenko";F;22;183;132,2773572;Belarus;Tennis;Tennis Mixed Doubles;Gold
"Alexander German ""Sander"" Baart";M;24;178;167,5513191;Netherlands;Hockey;Hockey Men's Hockey;Silver
Marta Bach Pascual;F;19;176;145,5050929;Spain;Water Polo;Water Polo Women's Water Polo;Silver
Sebastian Bachmann;M;25;182;156,528206;Germany;Fencing;Fencing Men's Foil, Team;Bronze
Baek Seong-Dong;M;20;171;145,5050929;South Korea;Football;Football Men's Football;Bronze
Mohammad Bagheri Motamed;M;26;181;149,9143382;Iran;Taekwondo;Taekwondo Men's Featherweight;Silver
Kamal Bahamdan;M;42;172;152,1189608;Saudi Arabia;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
Kemar Bailey-Cole;M;20;193;185,1883001;Jamaica;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
"Timothy ""Tim"" Baillie";M;33;176;171,9605644;Great Britain-1;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Gold
Angie Lee Bainbridge;F;22;181;147,7097155;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
Keshia Chantay Baker (-Kirtz);F;24;170;136,6866024;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Billy Pierre Bakker;M;23;188;180,7790548;Netherlands;Hockey;Hockey Men's Hockey;Silver
Andrea Baldini;M;26;175;154,3235834;Italy;Fencing;Fencing Men's Foil, Team;Gold
Ivano Bali;M;33;190;211,6437715;Croatia;Handball;Handball Men's Handball;Bronze
Marcel Gerard Balkestein;M;31;180;169,7559417;Netherlands;Hockey;Hockey Men's Hockey;Silver
Ashleigh Julia Ball;F;26;181;154,3235834;Great Britain;Hockey;Hockey Women's Hockey;Bronze
Coralie Balmy;F;25;180;147,7097155;France;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Carina Br;F;22;185;165,3466965;Germany;Rowing;Rowing Women's Quadruple Sculls;Silver
Samir Bara;M;38;188;209,4391489;Croatia;Water Polo;Water Polo Men's Water Polo;Gold
Xavier Barachet;M;23;195;209,4391489;France;Handball;Handball Men's Handball;Gold
Andrea Bari;M;32;184;176,3698096;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Sonja Barjaktarovi;F;25;180;163,1420739;Montenegro;Handball;Handball Women's Handball;Silver
"Patrick Gerard ""Paddy"" Barnes";M;25;163;108,0265084;Ireland;Boxing;Boxing Men's Light-Flyweight;Bronze
Andrea Barno San Martn;F;32;175;141,0958477;Spain;Handball;Handball Women's Handball;Bronze
Bronte Amelia Arnold Barratt;F;23;171;130,0727346;Australia;Swimming;Swimming Women's 200 metres Freestyle;Bronze
Bronte Amelia Arnold Barratt;F;23;171;130,0727346;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
Brigetta LaShea Barrett;F;21;183;141,0958477;United States;Athletics;Athletics Women's High Jump;Silver
Mara Noel Barrionuevo;F;28;171;127,868112;Argentina;Hockey;Hockey Women's Hockey;Silver
Erick Bernab Barrondo Garca;M;21;178;132,2773572;Guatemala;Athletics;Athletics Men's 20 kilometres Walk;Silver
Mutaz Essa Barshim;M;21;190;143,3004703;Qatar;Athletics;Athletics Men's High Jump;Bronze
Jacob Jepsen Barse;M;23;188;160,9374513;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Bronze
Danka Bartekov;F;27;170;121,2542441;Slovakia;Shooting;Shooting Women's Skeet;Bronze
Laura Bartlett;F;24;169;138,8912251;Great Britain;Hockey;Hockey Women's Hockey;Bronze
"Christopher Roger ""Chris"" Bartley";M;28;178;158,7328286;Great Britain;Rowing;Rowing Men's Lightweight Coxless Fours;Silver
Anastasiya Vladimirovna Baryshnikova;F;21;173;147,7097155;Russia;Taekwondo;Taekwondo Women's Heavyweight;Bronze
Clara Basiana Caellas;F;21;170;85,98028218;Spain;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Suzy Batkovic (-Brown);F;31;195;196,2114132;Australia;Basketball;Basketball Women's Basketball;Bronze
Romano Battisti;M;25;190;200,6206584;Italy;Rowing;Rowing Men's Double Sculls;Silver
Grgory Benot Baug;M;27;181;220,462262;France;Cycling;Cycling Men's Sprint;Silver
Grgory Benot Baug;M;27;181;220,462262;France;Cycling;Cycling Men's Team Sprint;Silver
"Dorothy Lee ""Dotsie"" Bausch (Cowden-)";F;39;175;130,0727346;United States;Cycling;Cycling Women's Team Pursuit;Silver
Rvn Bayramov;M;25;160;130,0727346;Azerbaijan;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Silver
Gemma Beadsworth;F;25;180;171,9605644;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Anna Rose Bebington-Watkins;F;29;183;171,9605644;Great Britain;Rowing;Rowing Women's Double Sculls;Gold
Laura Bechtolsheimer (-Tomlinson);F;27;169;123,4588667;Great Britain;Equestrianism;Equestrianism Mixed Dressage, Individual;Bronze
Laura Bechtolsheimer (-Tomlinson);F;27;169;123,4588667;Great Britain;Equestrianism;Equestrianism Mixed Dressage, Team;Gold
Clmence Beikes;F;28;180;156,528206;France;Basketball;Basketball Women's Basketball;Silver
Elizabeth Lyon Beisel;F;19;168;149,9143382;United States;Swimming;Swimming Women's 200 metres Backstroke;Bronze
Elizabeth Lyon Beisel;F;19;168;149,9143382;United States;Swimming;Swimming Women's 400 metres Individual Medley;Silver
Tariku Bekele Beyecha;M;25;173;143,3004703;Ethiopia;Athletics;Athletics Men's 10,000 metres;Bronze
Mathew Belcher;M;29;173;136,6866024;Australia;Sailing;Sailing Men's Two Person Dinghy;Gold
Claudia Renate Belderbos;F;27;175;158,7328286;Netherlands;Rowing;Rowing Women's Coxed Eights;Bronze
Mireia Belmonte Garca;F;21;170;130,0727346;Spain;Swimming;Swimming Women's 800 metres Freestyle;Silver
Mireia Belmonte Garca;F;21;170;130,0727346;Spain;Swimming;Swimming Women's 200 metres Butterfly;Silver
Meaghan Benfeito;F;23;155;105,8218858;Canada;Diving;Diving Women's Synchronized Platform;Bronze
Julien Benneteau;M;30;185;174,165187;France-2;Tennis;Tennis Men's Doubles;Bronze
"Richard ""Ricky"" Berens";M;24;188;205,0299037;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
"Richard ""Ricky"" Berens";M;24;188;205,0299037;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Yury Viktorovich Berezhko;M;28;198;213,8483941;Russia;Volleyball;Volleyball Men's Volleyball;Gold
Lindsey Napela Berg;F;32;173;169,7559417;United States;Volleyball;Volleyball Women's Volleyball;Silver
"Gabriel ""Gabe"" Bergen";M;30;187;202,825281;Canada;Rowing;Rowing Men's Coxed Eights;Silver
Denys Yuriyovych Berinchyk;M;24;170;141,0958477;Ukraine;Boxing;Boxing Men's Light-Welterweight;Silver
Lobke Berkhout;F;31;183;154,3235834;Netherlands;Sailing;Sailing Women's Two Person Dinghy;Bronze
Krisztin Berki;M;27;178;154,3235834;Hungary;Gymnastics;Gymnastics Men's Pommelled Horse;Gold
Yanet Bermoy Acosta;F;25;154;105,8218858;Cuba;Judo;Judo Women's Half-Lightweight;Silver
Alain Andr Louis Edmond Bernard;M;29;196;198,4160358;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
"Samuel Ryan ""Sam"" Bewley";M;25;192;176,3698096;New Zealand;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Jamie Lynn Beyerle-Gray (-Corkish);F;28;157;121,2542441;United States;Shooting;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Gold
Damir Biani;M;27;194;209,4391489;Croatia;Handball;Handball Men's Handball;Bronze
Emanuele Birarelli;M;31;202;209,4391489;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
"Suzanne Brigit ""Sue"" Bird";F;31;175;145,5050929;United States;Basketball;Basketball Women's Basketball;Gold
Ole Bischof;M;32;180;178,5744322;Germany;Judo;Judo Men's Half-Middleweight;Silver
Abby Bishop;F;23;189;187,3929227;Australia;Basketball;Basketball Women's Basketball;Bronze
Stuart Bithell;M;25;186;176,3698096;Great Britain;Sailing;Sailing Men's Two Person Dinghy;Silver
Yohan Blake;M;22;180;176,3698096;Jamaica;Athletics;Athletics Men's 100 metres;Silver
Yohan Blake;M;22;180;176,3698096;Jamaica;Athletics;Athletics Men's 200 metres;Silver
Yohan Blake;M;22;180;176,3698096;Jamaica;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Elisa Blanchi;F;24;168;108,0265084;Italy;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Andrea Blas Martnez;F;20;173;178,5744322;Spain;Water Polo;Water Polo Women's Water Polo;Silver
Keston Bledman;M;24;180;194,0067906;Trinidad and Tobago;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Anastasiya Ilyinichna Bliznyuk;F;18;173;112,4357536;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
