Name;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Yevgeny Aleksandrovich Lagunov;M;26;188;169,7559417;Russia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Kim Lammers;F;31;176;152,1189608;Netherlands;Hockey;Hockey Women's Hockey;Gold
Peter rsted Lang;M;23;185;176,3698096;Denmark;Sailing;Sailing Men's Skiff;Bronze
Helen Langehanenberg;F;30;164;105,8218858;Germany;Equestrianism;Equestrianism Mixed Dressage, Team;Silver
"Matthew Keir ""Matt"" Langridge";M;29;194;205,0299037;Great Britain;Rowing;Rowing Men's Coxed Eights;Bronze
Jonas Erik Larholm;M;30;193;187,3929227;Sweden;Handball;Handball Men's Handball;Silver
Larissa Frana Maestrini;F;30;174;149,9143382;Brazil-1;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Bronze
Eirik Vers Larsen;M;36;182;176,3698096;Norway;Canoeing;Canoeing Men's Kayak Singles, 1,000 metres;Gold
Breeja Larson;F;20;183;160,9374513;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Jordan Quinn Larson-Burbach;F;25;188;165,3466965;United States;Volleyball;Volleyball Women's Volleyball;Silver
Ehsan Lashgari;M;26;180;185,1883001;Iran;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle;Bronze
Revaz Lashkhi;M;24;172;132,2773572;Georgia;Wrestling;Wrestling Men's Lightweight, Greco-Roman;Silver
Yelena Anatolyevna Lashmanova;F;20;170;105,8218858;Russia;Athletics;Athletics Women's 20 kilometres Walk;Gold
Michal Eryk Lasko;M;31;202;229,2807525;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Romina Laurito;F;25;166;;Italy;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Renaud Lavillenie;M;25;177;156,528206;France;Athletics;Athletics Men's Pole Vault;Gold
Maya Lawrence;F;32;170;141,0958477;United States;Fencing;Fencing Women's epee, Team;Bronze
Edwige Lawson-Wade;F;33;166;132,2773572;France;Basketball;Basketball Women's Basketball;Silver
Mylne Lazare;F;24;183;165,3466965;France;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Suzana Lazovi;F;20;178;158,7328286;Montenegro;Handball;Handball Women's Handball;Silver
Chad Guy Bertrand le Clos;M;20;190;182,9836775;South Africa;Swimming;Swimming Men's 100 metres Butterfly;Silver
Chad Guy Bertrand le Clos;M;20;190;182,9836775;South Africa;Swimming;Swimming Men's 200 metres Butterfly;Gold
Karina Chenelle LeBlanc;F;32;177;165,3466965;Canada;Football;Football Women's Football;Bronze
"Kathleen Genevieve ""Katie"" Ledecky";F;15;183;160,9374513;United States;Swimming;Swimming Women's 800 metres Freestyle;Gold
Lee Beom-Yeong;M;23;199;207,2345263;South Korea;Football;Football Men's Football;Bronze
Lee Chong Wei;M;29;170;149,9143382;Malaysia;Badminton;Badminton Men's Singles;Silver
Lee Dae-Hun;M;20;183;154,3235834;South Korea;Taekwondo;Taekwondo Men's Flyweight;Silver
Lee Seong-Jin;F;27;164;143,3004703;South Korea;Archery;Archery Women's Team;Gold
Lee Wai Sze;F;25;165;136,6866024;Hong Kong;Cycling;Cycling Women's Keirin;Bronze
Lee Yong-Dae;M;23;180;163,1420739;South Korea-1;Badminton;Badminton Men's Doubles;Bronze
Clment Lefert;M;24;185;160,9374513;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Clment Lefert;M;24;185;160,9374513;France;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Ugo Legrand;M;23;175;160,9374513;France;Judo;Judo Men's Lightweight;Bronze
Silja Lehtinen;F;26;168;138,8912251;Finland;Sailing;Sailing Women's Three Person Keelboat;Bronze
Lei Sheng;M;28;193;169,7559417;China;Fencing;Fencing Men's Foil, Individual;Gold
Christophe Alexandre Christian Lematre;M;22;190;163,1420739;France;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
Deon Christopher Lendore;M;19;179;165,3466965;Trinidad and Tobago;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
"Lisbeth Constance ""Libby"" Lenton-Trickett";F;27;167;132,2773572;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Carolin Leonhardt;F;27;175;141,0958477;Germany;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
Amy Elizabeth LePeilbet;F;30;170;143,3004703;United States;Football;Football Women's Football;Gold
Florence Lepron;F;27;182;141,0958477;France;Basketball;Basketball Women's Basketball;Silver
Sydney Rae Leroux (-Dwyer);F;22;170;145,5050929;United States;Football;Football Women's Football;Gold
Nataliya Valeryevna Leshchik;F;17;176;;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Amaury Raymond Leveaux;M;26;202;194,0067906;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Amaury Raymond Leveaux;M;26;202;194,0067906;France;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Caitlin Leverenz;F;21;173;160,9374513;United States;Swimming;Swimming Women's 200 metres Individual Medley;Bronze
Maximilian Levy;M;25;182;191,8021679;Germany;Cycling;Cycling Men's Keirin;Silver
Maximilian Levy;M;25;182;191,8021679;Germany;Cycling;Cycling Men's Team Sprint;Bronze
Danell Johan Leyva Gonzalez;M;20;170;149,9143382;United States;Gymnastics;Gymnastics Men's Individual All-Around;Bronze
Jason Edward Lezak;M;36;193;216,0530168;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Li Jia Wei;F;30;170;132,2773572;Singapore;Table Tennis;Table Tennis Women's Team;Bronze
Li Jinzi;F;22;176;165,3466965;China;Boxing;Boxing Women's Middleweight;Bronze
Li Na;F;31;177;147,7097155;China;Fencing;Fencing Women's epee, Team;Gold
Li Xiaoxia;F;24;174;143,3004703;China;Table Tennis;Table Tennis Women's Singles;Gold
Li Xiaoxia;F;24;174;143,3004703;China;Table Tennis;Table Tennis Women's Team;Gold
Li Xuanxu;F;18;164;110,231131;China;Swimming;Swimming Women's 400 metres Individual Medley;Bronze
Li Xuerui;F;21;175;143,3004703;China;Badminton;Badminton Women's Singles;Gold
Li Xueying;F;22;161;127,868112;China;Weightlifting;Weightlifting Women's Lightweight;Gold
Li Yanfeng;F;33;179;187,3929227;China;Athletics;Athletics Women's Discus Throw;Bronze
Li Yunqi;M;18;193;180,7790548;China;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Jimmy Alexander Lidberg;M;30;191;211,6437715;Sweden;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;Bronze
Rubn Daro Limardo Gascn;M;26;175;165,3466965;Venezuela;Fencing;Fencing Men's epee, Individual;Gold
Lin Dan;M;28;177;154,3235834;China;Badminton;Badminton Men's Singles;Gold
Lin Qingfeng;M;23;167;138,8912251;China;Weightlifting;Weightlifting Men's Lightweight;Gold
Holly Lincoln-Smith;F;24;183;180,7790548;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Caroline Lind;F;29;183;176,3698096;United States;Rowing;Rowing Women's Coxed Eights;Gold
"Danielle ""Dani"" Rodrigues Lins";F;27;183;156,528206;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
Liu Ou;F;25;168;110,231131;China;Synchronized Swimming;Synchronized Swimming Women's Duet;Bronze
Liu Ou;F;25;168;110,231131;China;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Liu Xiaobo;M;28;201;224,8715072;China;Taekwondo;Taekwondo Men's Heavyweight;Bronze
Michal Llodra;M;32;190;176,3698096;France-1;Tennis;Tennis Men's Doubles;Silver
Carli Anne Lloyd (-Hollins);F;30;170;141,0958477;United States;Football;Football Women's Football;Gold
Shereefa Lloyd;F;29;172;149,9143382;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Bronze
Sergio Llull Meli;M;24;192;200,6206584;Spain;Basketball;Basketball Men's Basketball;Silver
Jonathan Gatan Cdric Lobert;M;27;195;220,462262;France;Sailing;Sailing Men's One Person Heavyweight Dinghy;Bronze
Nikita Konstantinovich Lobintsev;M;23;193;187,3929227;Russia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Ryan Steven Lochte;M;27;188;194,0067906;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Ryan Steven Lochte;M;27;188;194,0067906;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Ryan Steven Lochte;M;27;188;194,0067906;United States;Swimming;Swimming Men's 200 metres Backstroke;Bronze
Ryan Steven Lochte;M;27;188;194,0067906;United States;Swimming;Swimming Men's 200 metres Individual Medley;Silver
Ryan Steven Lochte;M;27;188;194,0067906;United States;Swimming;Swimming Men's 400 metres Individual Medley;Gold
William Lockwood;M;24;191;194,0067906;Australia;Rowing;Rowing Men's Coxless Fours;Silver
Esther Ruth  Lofgren;F;27;188;174,165187;United States;Rowing;Rowing Women's Coxed Eights;Gold
"Eleanor ""Elle"" Logan";F;24;188;189,5975453;United States;Rowing;Rowing Women's Coxed Eights;Gold
Vasyl Anatoliyovich Lomachenko;M;24;170;132,2773572;Ukraine;Boxing;Boxing Men's Lightweight;Gold
Thomas Pkemei Longosiwa;M;30;175;125,6634893;Kenya;Athletics;Athletics Men's 5,000 metres;Bronze
Fredrik Max Emil Lf;M;42;190;213,8483941;Sweden;Sailing;Sailing Men's Two Person Keelboat;Gold
Laura Lpez Ventosa;F;24;171;143,3004703;Spain;Water Polo;Water Polo Women's Water Polo;Silver
Livn Lpez Azcuy;M;30;170;163,1420739;Cuba;Wrestling;Wrestling Men's Welterweight, Freestyle;Bronze
Marta Lpez Herrero;F;22;168;141,0958477;Spain;Handball;Handball Women's Handball;Bronze
Mijan Lpez Nez;M;29;198;286,6009406;Cuba;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman;Gold
Tams Lrincz;M;25;172;165,3466965;Hungary;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Silver
Venio Losert;M;36;191;205,0299037;Croatia;Handball;Handball Men's Handball;Bronze
Constantine Michael Louloudis;M;20;190;202,825281;Great Britain;Rowing;Rowing Men's Coxed Eights;Bronze
Kevin Wesley Love;M;23;208;260,1454692;United States;Basketball;Basketball Men's Basketball;Gold
Heidi Lke;F;29;173;149,9143382;Norway;Handball;Handball Women's Handball;Gold
Lu Chunlong;M;23;170;127,868112;China;Trampolining;Trampolining Men's Individual;Bronze
Lu Haojie;M;21;175;169,7559417;China;Weightlifting;Weightlifting Men's Middleweight;Silver
Lu Xiaojun;M;27;172;169,7559417;China;Weightlifting;Weightlifting Men's Middleweight;Gold
Lu Ying;F;23;175;143,3004703;China;Swimming;Swimming Women's 100 metres Butterfly;Silver
Lu Zhiwu;M;23;182;167,5513191;China;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Lucas Rodrigues Moura da Silva;M;19;173;178,5744322;Brazil;Football;Football Men's Football;Silver
Rosario Luchetti;F;28;160;125,6634893;Argentina;Hockey;Hockey Women's Hockey;Silver
Kristine Lunde-Borgersen;F;32;181;147,7097155;Norway;Handball;Handball Women's Handball;Gold
Luo Xi;F;24;166;119,0496215;China;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Luo Xiaojuan;F;28;170;138,8912251;China;Fencing;Fencing Women's epee, Team;Gold
Luo Yutong;M;26;165;136,6866024;China;Diving;Diving Men's Synchronized Springboard;Gold
Thomas Peter Lurz;M;32;183;167,5513191;Germany;Swimming;Swimming Men's 10 kilometres Open Water;Silver
Tatyana Viktorovna Lysenko (-Beloborodova);F;28;180;187,3929227;Russia;Athletics;Athletics Women's Hammer Throw;Gold
Ma Jin;F;24;167;127,868112;China-2;Badminton;Badminton Mixed Doubles;Silver
Ma Long;M;23;175;158,7328286;China;Table Tennis;Table Tennis Men's Team;Gold
Sofa Maccari;F;28;165;145,5050929;Argentina;Hockey;Hockey Women's Hockey;Silver
"Rosannagh ""Rosie"" MacLennan";F;23;158;119,0496215;Canada;Trampolining;Trampolining Women's Individual;Gold
Hannah Louise Macleod;F;28;172;147,7097155;Great Britain;Hockey;Hockey Women's Hockey;Bronze
Kathleen MacLeod;F;25;168;134,4819798;Australia;Basketball;Basketball Women's Basketball;Bronze
Tianna Madison-Bartoletta;F;26;168;127,868112;United States;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
James Magnussen;M;21;198;207,2345263;Australia;Swimming;Swimming Men's 100 metres Freestyle;Silver
James Magnussen;M;21;198;207,2345263;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
Emily Maguire;F;24;169;134,4819798;Great Britain;Hockey;Hockey Women's Hockey;Bronze
"Benjamin Richard ""Ben"" Maher";M;29;183;149,9143382;Great Britain;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Tomasz Majewski;M;30;204;313,056412;Poland;Athletics;Athletics Men's Shot Put;Gold
Alina Andreyevna Makarenko;F;17;172;105,8218858;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Taoufik Makhloufi;M;24;170;147,7097155;Algeria;Athletics;Athletics Men's 1,500 metres;Gold
Vadim Gennadyevich Makhnyov;M;32;196;220,462262;Belarus;Canoeing;Canoeing Men's Kayak Doubles, 200 metres;Silver
Bilyal Valeryevich Makhov;M;24;200;275,5778275;Russia;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle;Bronze
Ivana Maksimovi-Anui;F;22;161;112,4357536;Serbia;Shooting;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Silver
Grgory Mallet;M;28;196;185,1883001;France;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
"Martilou ""Marti"" Malloy";F;26;161;127,868112;United States;Judo;Judo Women's Lightweight;Bronze
Florent Manaudou;M;21;199;218,2576394;France;Swimming;Swimming Men's 50 metres Freestyle;Gold
"Ronell Joshua ""Josh"" Mance";M;20;191;180,7790548;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Duan Mandi;M;18;202;231,4853751;Serbia;Water Polo;Water Polo Men's Water Polo;Bronze
Milica Mandi;F;20;180;158,7328286;Serbia;Taekwondo;Taekwondo Women's Heavyweight;Gold
Maiya Salakharovna Maneza;F;26;161;138,8912251;Kazakhstan;Weightlifting;Weightlifting Women's Middleweight;Gold
Vincenzo Mangiacapre;M;23;171;141,0958477;Italy;Boxing;Boxing Men's Light-Welterweight;Bronze
Marta Elisabet Mangu Gonzlez;F;29;170;165,3466965;Spain;Handball;Handball Women's Handball;Bronze
Gyuzel Tagirovna Manyurova;F;34;174;165,3466965;Kazakhstan;Wrestling;Wrestling Women's Heavyweight, Freestyle;Bronze
"Leonel Ernesto ""Leo"" Manzano";M;27;165;125,6634893;United States;Athletics;Athletics Men's 1,500 metres;Silver
Marcelo Vieira da Silva Jnior;M;24;173;158,7328286;Brazil;Football;Football Men's Football;Silver
McKayla Rose Maroney;F;16;160;101,4126405;United States;Gymnastics;Gymnastics Women's Team All-Around;Gold
McKayla Rose Maroney;F;16;160;101,4126405;United States;Gymnastics;Gymnastics Women's Horse Vault;Silver
dm Marosi;M;27;181;165,3466965;Hungary;Modern Pentathlon;Modern Pentathlon Men's Individual;Bronze
Darcy Marquardt;F;33;182;158,7328286;Canada;Rowing;Rowing Women's Coxed Eights;Silver
Yane Mrcia Campos da Fonseca Marques;F;28;166;121,2542441;Brazil;Modern Pentathlon;Modern Pentathlon Women's Individual;Bronze
"Davit ""Dato"" Marsagishvili";M;21;186;185,1883001;Georgia;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle;Bronze
Adrienne Elizabeth  Martelli;F;24;186;169,7559417;United States;Rowing;Rowing Women's Quadruple Sculls;Bronze
Michal Martikn;M;33;170;160,9374513;Slovakia;Canoeing;Canoeing Men's Canadian Singles, Slalom;Bronze
Carmen Dolores Martn Berenguer;F;24;172;158,7328286;Spain;Handball;Handball Women's Handball;Bronze
Damir Martin;M;24;189;213,8483941;Croatia;Rowing;Rowing Men's Quadruple Sculls;Silver
Rzvan Constantin Martin;M;20;158;152,1189608;Romania;Weightlifting;Weightlifting Men's Lightweight;Bronze
Tony Martin;M;27;186;165,3466965;Germany;Cycling;Cycling Men's Individual Time Trial;Silver
Sergey Anatolyevich Martynov;M;44;173;143,3004703;Belarus;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Gold
Karina Maruyama;F;29;162;123,4588667;Japan;Football;Football Women's Football;Silver
Natalie Mastracci;F;23;178;165,3466965;Canada;Rowing;Rowing Women's Coxed Eights;Silver
Luigi Mastrangelo;M;36;202;198,4160358;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Diana Beverly Matheson;F;28;153;119,0496215;Canada;Football;Football Women's Football;Bronze
Courtney Lynn Kaiulani  Mathewson;F;25;171;152,1189608;United States;Water Polo;Water Polo Women's Water Polo;Gold
Michael Walter Mathieu;M;28;178;167,5513191;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
Takeshi Matsuda;M;28;184;185,1883001;Japan;Swimming;Swimming Men's 200 metres Butterfly;Bronze
Takeshi Matsuda;M;28;184;185,1883001;Japan;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Kaori Matsumoto;F;24;163;125,6634893;Japan;Judo;Judo Women's Lightweight;Gold
Ryutaro Matsumoto;M;26;168;132,2773572;Japan;Wrestling;Wrestling Men's Lightweight, Greco-Roman;Bronze
Misty Erie May-Treanor;F;34;175;158,7328286;United States-1;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Gold
Conlin McCabe;M;21;205;220,462262;Canada;Rowing;Rowing Men's Coxed Eights;Silver
Alicia McCormack;F;29;167;167,5513191;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Francena Lynette McCorory;F;23;171;149,9143382;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Angel Lajuane McCoughtry;F;25;185;154,3235834;United States;Basketball;Basketball Women's Basketball;Gold
"Nicholas Montgomery ""Nick"" McCrory";M;20;178;163,1420739;United States;Diving;Diving Men's Synchronized Platform;Bronze
Kaarle McCulloch;F;24;168;152,1189608;Australia;Cycling;Cycling Women's Team Sprint;Bronze
Tyler Tennant McGill;M;24;180;171,9605644;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
"Edward Daniel ""Ed"" McKeever";M;28;173;174,165187;Great Britain;Canoeing;Canoeing Men's Kayak Singles, 200 metres;Gold
"Matthew ""Matt"" McLean";M;24;198;220,462262;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Sally McLellan-Pearson;F;25;167;132,2773572;Australia;Athletics;Athletics Women's 100 metres Hurdles;Gold
Erin Katrina McLeod;F;29;174;160,9374513;Canada;Football;Football Women's Football;Bronze
Paige Arielle McPherson;F;21;173;143,3004703;United States;Taekwondo;Taekwondo Women's Welterweight;Bronze
Tony McQuay;M;22;181;158,7328286;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
James McRae;M;25;193;205,0299037;Australia;Rowing;Rowing Men's Quadruple Sculls;Bronze
Mhmmdrsul Mcidov;M;25;190;200,6206584;Azerbaijan;Boxing;Boxing Men's Super-Heavyweight;Bronze
Anna Maree Devenish Meares;F;28;165;154,3235834;Australia;Cycling;Cycling Women's Sprint;Gold
Anna Maree Devenish Meares;F;28;165;154,3235834;Australia;Cycling;Cycling Women's Team Sprint;Bronze
Majda Mehmedovi;F;22;170;147,7097155;Montenegro;Handball;Handball Women's Handball;Silver
Rta Meilutyt;F;15;176;165,3466965;Lithuania;Swimming;Swimming Women's 100 metres Breaststroke;Gold
Mahiedine Mekhissi-Benabbad;M;27;190;165,3466965;France;Athletics;Athletics Men's 3,000 metres Steeplechase;Silver
Yegor Leonidovich Mekhontsev;M;27;185;178,5744322;Russia;Boxing;Boxing Men's Light-Heavyweight;Gold
Oussama Mellouli;M;28;192;185,1883001;Tunisia;Swimming;Swimming Men's 1,500 metres Freestyle;Bronze
Oussama Mellouli;M;28;192;185,1883001;Tunisia;Swimming;Swimming Men's 10 kilometres Open Water;Gold
Sarah Gabrielle Cabral de Menezes;F;22;154;105,8218858;Brazil;Judo;Judo Women's Extra-Lightweight;Gold
Florian Mennigen;M;30;194;205,0299037;Germany;Rowing;Rowing Men's Coxed Eights;Gold
Delfina Merino;F;22;169;130,0727346;Argentina;Hockey;Hockey Women's Hockey;Silver
Aries D'Andre Merritt;M;27;188;158,7328286;United States;Athletics;Athletics Men's 110 metres Hurdles;Gold
Ona Meseguer Flaqu;F;24;167;136,6866024;Spain;Water Polo;Water Polo Women's Water Polo;Silver
Przemysaw Miarczyski;M;32;185;171,9605644;Poland;Sailing;Sailing Men's Windsurfer;Bronze
Julia Ludwika Michalska;F;27;179;152,1189608;Poland;Rowing;Rowing Women's Double Sculls;Bronze
Hiram Ricardo Mier Alans;M;22;179;154,3235834;Mexico;Football;Football Men's Football;Gold
Aleksandr Vyacheslavovich Mikhaylin;M;32;195;253,5316013;Russia;Judo;Judo Men's Heavyweight;Silver
Maksim Mikhaylovich Mikhaylov;M;24;202;227,0761299;Russia;Volleyball;Volleyball Men's Volleyball;Gold
Beata Mikoajczyk;F;26;170;149,9143382;Poland;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Bronze
Radmila Miljani-Petrovi;F;24;157;132,2773572;Montenegro;Handball;Handball Women's Handball;Silver
Ramon Salomon Miller;M;25;180;147,7097155;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
Hannah Louise Mills;F;24;157;110,231131;Great Britain;Sailing;Sailing Women's Two Person Dinghy;Silver
Lorena Miranda Dorado;F;21;174;160,9374513;Spain;Water Polo;Water Polo Women's Water Polo;Silver
"Maksim Nikolayevich ""Max"" Mirnyi";M;35;196;198,4160358;Belarus;Tennis;Tennis Mixed Doubles;Gold
Manteo Mitchell;M;25;185;174,165187;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Stefan Mitrovi;M;24;195;200,6206584;Serbia;Water Polo;Water Polo Men's Water Polo;Bronze
Heather Blaine Mitts (-Feeley);F;34;165;121,2542441;United States;Football;Football Women's Football;Gold
Hiromi Miyake;F;26;145;105,8218858;Japan;Weightlifting;Weightlifting Women's Flyweight;Silver
Ryo Miyake;M;21;178;154,3235834;Japan;Fencing;Fencing Men's Foil, Team;Silver
Aya Miyama;F;27;157;112,4357536;Japan;Football;Football Women's Football;Silver
Tamari Miyashiro;F;25;170;160,9374513;United States;Volleyball;Volleyball Women's Volleyball;Silver
Nwal-Endn Miyem;F;24;188;191,8021679;France;Basketball;Basketball Women's Basketball;Silver
Teymur Mmmdov;M;19;196;200,6206584;Azerbaijan;Boxing;Boxing Men's Heavyweight;Bronze
Pter Mdos;M;24;170;121,2542441;Hungary;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Bronze
Davit Modzmanashvili;M;25;185;242,5084882;Georgia;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle;Silver
Carsten Mogensen;M;29;188;165,3466965;Denmark;Badminton;Badminton Men's Doubles;Silver
Alin George Moldoveanu;M;29;173;160,9374513;Romania;Shooting;Shooting Men's Air Rifle, 10 metres;Gold
Carlo Molfetta;M;28;183;171,9605644;Italy;Taekwondo;Taekwondo Men's Heavyweight;Gold
Daniele Cristoforo Molmenti;M;27;170;152,1189608;Italy;Canoeing;Canoeing Men's Kayak Singles, Slalom;Gold
Aldo Montano;M;33;184;180,7790548;Italy;Fencing;Fencing Men's Sabre, Team;Bronze
Sergey Aleksandrovich Monya;M;29;202;218,2576394;Russia;Basketball;Basketball Men's Basketball;Bronze
Maya April Moore;F;23;183;174,165187;United States;Basketball;Basketball Women's Basketball;Gold
Jane Moran;F;27;167;154,3235834;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Matteo Morandi;M;30;165;156,528206;Italy;Gymnastics;Gymnastics Men's Rings;Bronze
"Alexandra Patricia ""Alex"" Morgan";F;23;173;136,6866024;United States;Football;Football Women's Football;Gold
"Christopher ""Chris"" Morgan";M;29;191;198,4160358;Australia;Rowing;Rowing Men's Quadruple Sculls;Bronze
Andranne Morin;F;30;178;156,528206;Canada;Rowing;Rowing Women's Coxed Eights;Silver
Vladimir Viktorovich Morozov;M;20;180;160,9374513;Russia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Dorian Denis Mortelette;M;28;195;198,4160358;France;Rowing;Rowing Men's Coxless Pairs;Silver
Carmelina Moscato;F;28;171;158,7328286;Canada;Football;Football Women's Football;Bronze
Vasily Aleksandrovich Mosin;M;40;180;180,7790548;Russia;Shooting;Shooting Men's Double Trap;Bronze
Timofey Pavlovich Mozgov;M;26;216;249,1223561;Russia;Basketball;Basketball Men's Basketball;Bronze
Camille-Marie Manuella Muffat;F;22;183;156,528206;France;Swimming;Swimming Women's 200 metres Freestyle;Silver
Camille-Marie Manuella Muffat;F;22;183;156,528206;France;Swimming;Swimming Women's 400 metres Freestyle;Gold
Camille-Marie Manuella Muffat;F;22;183;156,528206;France;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Lutalo Massop-Muhammad;M;21;191;176,3698096;Great Britain;Taekwondo;Taekwondo Men's Welterweight;Bronze
"Teunis ""Teun"" Mulder";M;31;182;191,8021679;Netherlands;Cycling;Cycling Men's Keirin;Bronze
Lukas Mller;M;25;208;224,8715072;Germany;Rowing;Rowing Men's Coxed Eights;Gold
"Maximillian ""Max"" Mller";M;25;185;176,3698096;Germany;Hockey;Hockey Men's Hockey;Gold
Oscar Luis Muoz Oviedo;M;19;178;127,868112;Colombia;Taekwondo;Taekwondo Men's Flyweight;Bronze
Ryota Murata;M;26;182;;Japan;Boxing;Boxing Men's Middleweight;Gold
Murilo Endres;M;31;190;167,5513191;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Koji Alexander Murofushi;M;37;187;211,6437715;Japan;Athletics;Athletics Men's Hammer Throw;Bronze
"Andrew Barron ""Andy"" Murray";M;25;190;182,9836775;Great Britain;Tennis;Tennis Men's Singles;Gold
"Andrew Barron ""Andy"" Murray";M;25;190;182,9836775;Great Britain;Tennis;Tennis Mixed Doubles;Silver
Eric Gordon Murray;M;30;195;216,0530168;New Zealand;Rowing;Rowing Men's Coxless Pairs;Gold
Samantha Murray;F;22;174;132,2773572;Great Britain;Modern Pentathlon;Modern Pentathlon Women's Individual;Silver
Dmitry Aleksandrovich Musersky;M;23;219;229,2807525;Russia;Volleyball;Volleyball Men's Volleyball;Gold
Petar Muslim;M;24;200;224,8715072;Croatia;Water Polo;Water Polo Men's Water Polo;Gold
Meghan Musnicki;F;29;183;160,9374513;United States;Rowing;Rowing Women's Coxed Eights;Gold
Aliya Farkhatovna Mustafina;F;17;162;105,8218858;Russia;Gymnastics;Gymnastics Women's Individual All-Around;Bronze
Aliya Farkhatovna Mustafina;F;17;162;105,8218858;Russia;Gymnastics;Gymnastics Women's Team All-Around;Silver
Aliya Farkhatovna Mustafina;F;17;162;105,8218858;Russia;Gymnastics;Gymnastics Women's Floor Exercise;Bronze
Aliya Farkhatovna Mustafina;F;17;162;105,8218858;Russia;Gymnastics;Gymnastics Women's Uneven Bars;Gold
Abel Kiprop Mutai;M;23;187;160,9374513;Kenya;Athletics;Athletics Men's 3,000 metres Steeplechase;Bronze
"Mara Florencia ""Flor"" Mutio";F;27;171;149,9143382;Argentina;Hockey;Hockey Women's Hockey;Silver
Rasmus Paul Myrgren;M;33;175;182,9836775;Sweden;Sailing;Sailing Men's One Person Dinghy;Bronze
Heiki Nabi;M;27;193;255,7362239;Estonia;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman;Silver
Yuki Nagasato-Ogimi;F;25;168;132,2773572;Japan;Football;Football Women's Football;Silver
