N4m3;S3x;4g3;H31ght;W31ght;T34m;Sp0rt;3v3nt;M3d4l
Anna Josefin Lillhage (-stblom);F;20;177;143,3004703;Sweden;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Kristine Marie Lilly (-Heavey);F;29;160;123,4588667;United States;Football;Football Women's Football;Silver
Mariana Limbu;F;23;175;156,528206;Romania;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Bronze
Lin Weining;F;21;163;149,9143382;China;Weightlifting;Weightlifting Women's Light-Heavyweight;Gold
Omar Linares Izquierdo;M;32;185;224,8715072;Cuba;Baseball;Baseball Men's Baseball;Silver
Per Ola Markus Lindgren;M;36;192;202,825281;Sweden;Handball;Handball Men's Handball;Silver
"Matthew James ""Matt"" Lindland";M;30;182;167,5513191;United States;Wrestling;Wrestling Men's Middleweight, Greco-Roman;Silver
Drte Lindner;F;26;165;127,868112;Germany;Diving;Diving Women's Springboard;Bronze
Andrew James Ronald Lindsay;M;23;185;205,0299037;Great Britain;Rowing;Rowing Men's Coxed Eights;Gold
Gillian Anne Lindsay;F;26;183;160,9374513;Great Britain;Rowing;Rowing Women's Quadruple Sculls;Silver
Ling Jie;F;17;150;81,57103694;China;Gymnastics;Gymnastics Women's Uneven Bars;Silver
Renate Lingor;F;24;165;123,4588667;Germany;Football;Football Women's Football;Bronze
Dirk Reinier Lippits;M;23;194;202,825281;Netherlands;Rowing;Rowing Men's Quadruple Sculls;Silver
Liu Guoliang;M;24;168;132,2773572;China;Table Tennis;Table Tennis Men's Singles;Bronze
Liu Guoliang;M;24;168;132,2773572;China-1;Table Tennis;Table Tennis Men's Doubles;Silver
Liu Xuan;F;21;153;105,8218858;China;Gymnastics;Gymnastics Women's Individual All-Around;Bronze
Liu Xuan;F;21;153;105,8218858;China;Gymnastics;Gymnastics Women's Balance Beam;Gold
Liu Yuxiang;F;24;159;125,6634893;China;Judo;Judo Women's Half-Lightweight;Bronze
Brent James Livermore;M;24;177;163,1420739;Australia;Hockey;Hockey Men's Hockey;Bronze
Bo Urban Mikael Ljungberg;M;30;189;213,8483941;Sweden;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;Gold
Vqar Mursal lkbrov;M;19;178;200,6206584;Azerbaijan;Boxing;Boxing Men's Middleweight;Bronze
Joan Llaneras Rossell;M;31;180;143,3004703;Spain;Cycling;Cycling Men's Points Race;Gold
Yekaterina Vladimirovna Lobaznyuk;F;17;141;88,1849048;Russia;Gymnastics;Gymnastics Women's Team All-Around;Silver
Yekaterina Vladimirovna Lobaznyuk;F;17;141;88,1849048;Russia;Gymnastics;Gymnastics Women's Horse Vault;Bronze
Yekaterina Vladimirovna Lobaznyuk;F;17;141;88,1849048;Russia;Gymnastics;Gymnastics Women's Balance Beam;Silver
Tatyana Yuryevna Logunova;F;20;174;136,6866024;Russia;Fencing;Fencing Women's epee, Team;Gold
"Abraham Robertus ""Bram"" Lomans";M;25;200;211,6437715;Netherlands;Hockey;Hockey Men's Hockey;Gold
Matthew Long;M;25;194;196,2114132;Australia;Rowing;Rowing Men's Coxless Pairs;Bronze
Jeannie Longo-Ciprelli;F;41;164;105,8218858;France;Cycling;Cycling Women's Individual Time Trial;Bronze
Fredrik Max Emil Lf;M;30;190;213,8483941;Sweden;Sailing;Sailing Men's One Person Dinghy;Bronze
Steven Lopez;M;21;191;182,9836775;United States;Taekwondo;Taekwondo Men's Featherweight;Gold
Ericka Denise Lorenz;F;19;180;156,528206;United States;Water Polo;Water Polo Women's Water Polo;Silver
Lars Stefan Lvgren;M;29;191;211,6437715;Sweden;Handball;Handball Men's Handball;Silver
Steven Garrett Lowney;M;20;185;211,6437715;United States;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;Bronze
Dra Mercedesz Lwy;F;23;172;143,3004703;Hungary;Handball;Handball Women's Handball;Silver
Nelson Loyola Torriente;M;32;184;176,3698096;Cuba;Fencing;Fencing Men's epee, Team;Bronze
Demetrio Lozano Jarque;M;24;196;220,462262;Spain;Handball;Handball Men's Handball;Bronze
Rafael Lozano Muoz;M;30;150;105,8218858;Spain;Boxing;Boxing Men's Light-Flyweight;Silver
Elia Luini;M;21;184;156,528206;Italy;Rowing;Rowing Men's Lightweight Double Sculls;Silver
Alejandrina Mireya Luis Hernndez;F;33;176;149,9143382;Cuba;Volleyball;Volleyball Women's Volleyball;Gold
Igor Vladimirovich Lukashin;M;21;171;154,3235834;Russia;Diving;Diving Men's Synchronized Platform;Gold
Theresa Anne Luke;F;33;180;171,9605644;Canada;Rowing;Rowing Women's Coxed Eights;Bronze
Digenes Lua Martnez;M;23;168;138,8912251;Cuba;Boxing;Boxing Men's Light-Welterweight;Bronze
Albert Luque Martos;M;22;184;165,3466965;Spain;Football;Football Men's Football;Silver
Manuela Lutze;F;26;185;171,9605644;Germany;Rowing;Rowing Women's Quadruple Sculls;Gold
Amelie Lux;F;23;162;105,8218858;Germany;Sailing;Sailing Women's Windsurfer;Silver
scar Macas Hernndez;M;31;171;194,0067906;Cuba;Baseball;Baseball Men's Baseball;Silver
Craig MacLean;M;29;174;191,8021679;Great Britain;Cycling;Cycling Men's Team Sprint;Silver
Shannon Ann MacMillan;F;25;165;130,0727346;United States;Football;Football Women's Football;Silver
Giuseppe Maddaloni;M;24;172;178,5744322;Italy;Judo;Judo Men's Lightweight;Gold
Tom Mder;M;26;165;149,9143382;Czech Republic-1;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Bronze
Sren Madsen;M;24;185;156,528206;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Bronze
Gabriele Magni;M;26;185;154,3235834;Italy;Fencing;Fencing Men's Foil, Team;Bronze
Clover Margaret Maitland;F;28;168;136,6866024;Australia;Hockey;Hockey Women's Hockey;Gold
Laura Maiztegui;F;21;163;141,0958477;Argentina;Hockey;Hockey Women's Hockey;Silver
Sergey Aleksandrovich Makarov;M;27;192;220,462262;Russia;Athletics;Athletics Men's Javelin Throw;Bronze
Nikolay Mikhaylovich Maksimov;M;27;190;209,4391489;Russia;Water Polo;Water Polo Men's Water Polo;Silver
Raimkul Khadoynazarovich Malakhbekov;M;26;168;119,0496215;Russia;Boxing;Boxing Men's Bantamweight;Silver
"Thomas Andrew ""Tom"" Malchow";M;24;198;189,5975453;United States;Swimming;Swimming Men's 200 metres Butterfly;Gold
Claudio Andrs del Trnsito Maldonado Rivera;M;20;173;147,7097155;Chile;Football;Football Men's Football;Bronze
Petr Mlek;M;38;175;171,9605644;Czech Republic;Shooting;Shooting Men's Skeet;Silver
Aleksandr Ivanovich Maletin;M;25;170;141,0958477;Russia;Boxing;Boxing Men's Lightweight;Bronze
Karnam Malleswari;F;25;163;132,2773572;India;Weightlifting;Weightlifting Women's Light-Heavyweight;Bronze
Kristen Ann Maloney;F;19;152;101,4126405;United States;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Beat Mndli;M;30;182;158,7328286;Switzerland;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Mirela Maniani-Tzelili;F;23;165;141,0958477;Greece;Athletics;Athletics Women's Javelin Throw;Silver
Paul Christian Manning;M;25;189;167,5513191;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Juan Manrique Garca;M;33;182;187,3929227;Cuba;Baseball;Baseball Men's Baseball;Silver
Roxana Maracineanu;F;25;165;114,6403762;France;Swimming;Swimming Women's 200 metres Backstroke;Silver
Carlos Marchena Lpez;M;21;182;165,3466965;Spain;Football;Football Men's Football;Silver
Kstutis Mariulionis;M;24;188;163,1420739;Lithuania;Basketball;Basketball Men's Basketball;Bronze
Tams Mrcz;M;26;186;180,7790548;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Juan Luis Marn Dels;M;29;165;145,5050929;Cuba;Wrestling;Wrestling Men's Lightweight, Greco-Roman;Silver
"Mara Mercedes ""Mechi"" Margalot";F;25;159;114,6403762;Argentina;Hockey;Hockey Women's Hockey;Silver
Tereza Moncheva Marinova;F;23;173;123,4588667;Bulgaria;Athletics;Athletics Women's Triple Jump;Gold
Russell Andrew Mark;M;36;183;187,3929227;Australia;Shooting;Shooting Men's Double Trap;Silver
Aleksey Mikhaylovich Markov;M;21;181;178,5744322;Russia;Cycling;Cycling Men's Points Race;Bronze
Georgi Markov;M;22;169;152,1189608;Bulgaria;Weightlifting;Weightlifting Men's Lightweight;Silver
Erzsbet Mrkus-Peresztegi;F;31;167;152,1189608;Hungary;Weightlifting;Weightlifting Women's Light-Heavyweight;Silver
Michal Martikn;M;21;170;160,9374513;Slovakia;Canoeing;Canoeing Men's Canadian Singles, Slalom;Silver
Camilla Martin (-Nygaard);F;26;174;130,0727346;Denmark;Badminton;Badminton Women's Singles;Silver
Silvio Martinello;M;37;177;156,528206;Italy;Cycling;Cycling Men's Madison;Bronze
Miguel Martinez;M;24;164;110,231131;France;Cycling;Cycling Men's Mountainbike, Cross-Country;Gold
Sergey Anatolyevich Martynov;M;32;173;143,3004703;Belarus;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Bronze
Ruslan Oleksandrovych Mashurenko;M;29;184;198,4160358;Ukraine;Judo;Judo Men's Middleweight;Bronze
Tomas Masiulis;M;24;205;229,2807525;Lithuania;Basketball;Basketball Men's Basketball;Bronze
Darius Maskolinas;M;29;195;198,4160358;Lithuania;Basketball;Basketball Men's Basketball;Bronze
Paula Karina Masotta Biagetti;F;29;170;127,868112;Argentina;Hockey;Hockey Women's Hockey;Silver
Enric Massip Borrs;M;31;192;202,825281;Spain;Handball;Handball Men's Handball;Bronze
Luigi Mastrangelo;M;25;202;198,4160358;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Mariko Masubuchi;F;20;169;134,4819798;Japan;Softball;Softball Women's Softball;Silver
ngel Volodia Matos Fuentes;M;23;193;178,5744322;Cuba;Taekwondo;Taekwondo Men's Welterweight;Gold
Naomi Matsumoto;F;32;166;132,2773572;Japan;Softball;Softball Women's Softball;Silver
Margriet Matthijsse;F;23;177;154,3235834;Netherlands;Sailing;Sailing Women's One Person Dinghy;Silver
Serhiy Leonidovych Matvieiev;M;25;183;171,9605644;Ukraine;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Renata Magorzata Mauer-Raska;F;31;154;110,231131;Poland;Shooting;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Gold
Fiona Winsome Marcia May (-Iapichino);F;30;181;132,2773572;Italy;Athletics;Athletics Women's Long Jump;Silver
Bronwyn Mayer-Smith;F;26;176;143,3004703;Australia;Water Polo;Water Polo Women's Water Polo;Gold
Freddy Santiago Mayola Fernndez;M;22;176;163,1420739;Cuba;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
Mariya Valeryevna Mazina;F;36;175;136,6866024;Russia;Fencing;Fencing Women's epee, Team;Gold
Angelo Mazzoni;M;39;183;169,7559417;Italy;Fencing;Fencing Men's epee, Team;Gold
Modeste M'Bami;M;17;172;147,7097155;Cameroon;Football;Football Men's Football;Gold
Henri Patrick M'Boma Dem;M;29;185;185,1883001;Cameroon;Football;Football Men's Football;Gold
Nikki Kensengane McCray;F;28;181;158,7328286;United States;Basketball;Basketball Women's Basketball;Gold
Heather Jane McDermid;F;31;178;149,9143382;Canada;Rowing;Rowing Women's Coxed Eights;Bronze
Sally Jane McDermid-McCreedy;F;35;176;176,3698096;Australia;Softball;Softball Women's Softball;Bronze
Beverly McDonald (-Stewart);F;30;169;130,0727346;Jamaica;Athletics;Athletics Women's 200 metres;Bronze
Beverly McDonald (-Stewart);F;30;169;130,0727346;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Michael L. McDonald;M;25;183;187,3929227;Jamaica;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Antonio Keithflen McDyess;M;26;202;240,3038656;United States;Basketball;Basketball Men's Basketball;Gold
Jennifer Yvonne McFalls;F;28;167;149,9143382;United States;Softball;Softball Women's Softball;Gold
Danny D. McFarlane;M;28;183;165,3466965;Jamaica;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
"Bradley John ""Brad"" McGee";M;24;182;158,7328286;Australia;Cycling;Cycling Men's Individual Pursuit, 4,000 metres;Bronze
Yvonne McGregor;F;39;165;123,4588667;Great Britain;Cycling;Cycling Women's Individual Pursuit, 3,000 metres;Bronze
Scott Anthony McGrory;M;30;185;160,9374513;Australia;Cycling;Cycling Men's Madison;Gold
Lincoln Paul McIlravy;M;26;172;152,1189608;United States;Wrestling;Wrestling Men's Welterweight, Freestyle;Bronze
Aaron John McIntosh;M;28;177;156,528206;New Zealand;Sailing;Sailing Men's Windsurfer;Bronze
Troy McIntosh;M;27;178;160,9374513;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
"Michael Scott ""Mike"" McKay";M;35;192;200,6206584;Australia;Rowing;Rowing Men's Coxed Eights;Silver
"Charles ""Charlie"" McKee";M;38;179;174,165187;United States;Sailing;Sailing Mixed Skiff;Bronze
Jonathan Dunn McKee;M;40;177;160,9374513;United States;Sailing;Sailing Mixed Skiff;Bronze
Brigitte McMahon (Huber-);F;33;170;121,2542441;Switzerland;Triathlon;Triathlon Women's Olympic Distance;Gold
Lesley McNaught-Mndli;F;36;173;154,3235834;Switzerland;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Zemfira Aliyevna Meftkhtddinova;F;37;164;145,5050929;Azerbaijan;Shooting;Shooting Women's Skeet;Gold
"Elsiena Janneke ""Elien"" Meijer";F;30;177;156,528206;Netherlands;Rowing;Rowing Women's Coxed Eights;Silver
Maren Meinert;F;27;173;152,1189608;Germany;Football;Football Women's Football;Bronze
Filip Meirhaeghe;M;29;174;154,3235834;Belgium;Cycling;Cycling Men's Mountainbike, Cross-Country;Silver
Urbia Melndez Rodrguez;F;28;166;108,0265084;Cuba;Taekwondo;Taekwondo Women's Flyweight;Silver
Arsen Melikyan;M;24;170;169,7559417;Armenia;Weightlifting;Weightlifting Men's Middleweight;Bronze
Dagny Mellgren;F;22;165;147,7097155;Norway;Football;Football Women's Football;Gold
"Wilhelm ""Willi"" Melliger";M;47;170;160,9374513;Switzerland;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Javier Mndez Gonzlez;M;36;174;185,1883001;Cuba;Baseball;Baseball Men's Baseball;Silver
Osleidys Menndez Sez;F;20;175;176,3698096;Cuba;Athletics;Athletics Women's Javelin Throw;Bronze
Barbara Mensing;F;39;170;154,3235834;Germany;Archery;Archery Women's Team;Bronze
Marco Meoni;M;27;197;189,5975453;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Nouria Mrah-Benida;F;29;162;119,0496215;Algeria;Athletics;Athletics Women's 1,500 metres;Gold
Rolando Merio Betancourt;M;29;187;207,2345263;Cuba;Baseball;Baseball Men's Baseball;Silver
Larisa Viktorovna Merk;F;29;180;176,3698096;Russia;Rowing;Rowing Women's Quadruple Sculls;Bronze
Petar Khristov Merkov;M;23;188;209,4391489;Bulgaria;Canoeing;Canoeing Men's Kayak Singles, 500 metres;Silver
Petar Khristov Merkov;M;23;188;209,4391489;Bulgaria;Canoeing;Canoeing Men's Kayak Singles, 1,000 metres;Silver
"Robert M. ""Bob"" Merrick";M;29;185;145,5050929;United States;Sailing;Sailing Men's Two Person Dinghy;Silver
Katharine Merry;F;25;173;136,6866024;Great Britain;Athletics;Athletics Women's 400 metres;Bronze
Germn Mesa Fresneda;M;33;172;149,9143382;Cuba;Baseball;Baseball Men's Baseball;Silver
Magali Di Marco Messmer (Chopard-);F;29;166;116,8449989;Switzerland;Triathlon;Triathlon Women's Olympic Distance;Bronze
ula Meter;M;28;203;202,825281;Serbia and Montenegro;Volleyball;Volleyball Men's Volleyball;Gold
Heiko Meyer;M;23;160;125,6634893;Germany;Diving;Diving Men's Synchronized Platform;Bronze
Albert Meyong Ze;M;19;172;;Cameroon;Football;Football Men's Football;Gold
Ruslan Volodymyrovych Mezentsev;M;19;168;132,2773572;Ukraine;Gymnastics;Gymnastics Men's Team All-Around;Silver
Assefa Mezgebu;M;22;175;121,2542441;Ethiopia;Athletics;Athletics Men's 10,000 metres;Bronze
"Douglas Andrew ""Doug"" Mientkiewicz";M;26;185;189,5975453;United States;Baseball;Baseball Men's Baseball;Gold
Vasa Miji;M;27;186;176,3698096;Serbia and Montenegro;Volleyball;Volleyball Men's Volleyball;Gold
Sergey Mikhaylov;M;24;187;176,3698096;Uzbekistan;Boxing;Boxing Men's Light-Heavyweight;Bronze
Paolo Milanoli;M;30;191;171,9605644;Italy;Fencing;Fencing Men's epee, Team;Gold
Tiffeny Carleen Milbrett;F;27;155;123,4588667;United States;Football;Football Women's Football;Silver
Mykola Mykolaiovych Milchev;M;32;180;198,4160358;Ukraine;Shooting;Shooting Men's Skeet;Gold
Jearl Atawa Miles-Clark;F;34;170;132,2773572;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Ivan Miljkovi;M;21;206;194,0067906;Serbia and Montenegro;Volleyball;Volleyball Men's Volleyball;Gold
Gail Louise Miller (-Tune);F;23;180;143,3004703;Australia;Water Polo;Water Polo Women's Water Polo;Gold
Melissa Ann Mills;F;26;180;147,7097155;Australia;Water Polo;Water Polo Women's Water Polo;Gold
Lalita Vadimovna Milshina-Yauhleuskaya;F;36;158;141,0958477;Belarus;Shooting;Shooting Women's Sporting Pistol, 25 metres;Bronze
DeLisha Lachell Milton-Jones;F;26;185;185,1883001;United States;Basketball;Basketball Women's Basketball;Gold
Serge Mimpo-Tsintsm;M;26;;;Cameroon;Football;Football Men's Football;Gold
Sumika Minamoto;F;21;168;141,0958477;Japan;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Bronze
Juraj Mink;M;23;181;167,5513191;Slovakia;Canoeing;Canoeing Men's Canadian Singles, Slalom;Bronze
Sandra Minnert;F;27;173;149,9143382;Germany;Football;Football Women's Football;Bronze
Ryan Scott Mitchell;M;23;185;169,7559417;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Claire Mitchell-Taverner;F;30;164;123,4588667;Australia;Hockey;Hockey Women's Hockey;Gold
Yevgeny Viktorovich Mitkov;M;28;194;196,2114132;Russia;Volleyball;Volleyball Men's Volleyball;Silver
Viktor Mitrou;M;27;168;169,7559417;Greece;Weightlifting;Weightlifting Men's Middleweight;Silver
Diana Iuliana Mocanu;F;16;170;149,9143382;Romania;Swimming;Swimming Women's 100 metres Backstroke;Gold
Diana Iuliana Mocanu;F;16;170;149,9143382;Romania;Swimming;Swimming Women's 200 metres Backstroke;Gold
Oleg Moldovan;M;33;178;154,3235834;Moldova;Shooting;Shooting Men's Running Target, 10 metres;Silver
Valter Molea;M;34;192;198,4160358;Italy;Rowing;Rowing Men's Coxless Fours;Silver
Tams Molnr;M;25;193;229,2807525;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Avard Moncur;M;21;193;191,8021679;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
"Timothy ""Tim"" Montgomery";M;25;178;160,9374513;United States;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Anne Katherine Montminy (-Goldman);F;25;165;108,0265084;Canada;Diving;Diving Women's Platform;Bronze
Anne Katherine Montminy (-Goldman);F;25;165;108,0265084;Canada;Diving;Diving Women's Synchronized Platform;Silver
Jude Monye;M;26;188;174,165187;Nigeria;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
Heather L. Moody;F;27;182;169,7559417;United States;Water Polo;Water Polo Women's Water Polo;Silver
Martina Moravcov;F;24;172;132,2773572;Slovakia;Swimming;Swimming Women's 200 metres Freestyle;Silver
Martina Moravcov;F;24;172;132,2773572;Slovakia;Swimming;Swimming Women's 100 metres Butterfly;Silver
Ftima Moreira de Melo;F;22;160;121,2542441;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Carlo Leonardo Mornati;M;28;186;194,0067906;Italy;Rowing;Rowing Men's Coxless Fours;Silver
Nataliya Igorevna Morozova;F;27;188;163,1420739;Russia;Volleyball;Volleyball Women's Volleyball;Silver
"Jennifer Lynn ""Jenny"" Morris";F;27;172;152,1189608;Australia;Hockey;Hockey Women's Hockey;Gold
Melissa Renee Morrison (-Howard);F;29;164;123,4588667;United States;Athletics;Athletics Women's 100 metres Hurdles;Bronze
Simmone Anne Morrow;F;23;169;136,6866024;Australia;Softball;Softball Women's Softball;Bronze
Karin rnhj Mortensen;F;22;182;169,7559417;Denmark;Handball;Handball Women's Handball;Gold
"Glenn Edward ""Ed"" Moses";M;20;180;171,9605644;United States;Swimming;Swimming Men's 100 metres Breaststroke;Silver
"Glenn Edward ""Ed"" Moses";M;20;180;171,9605644;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Aleksandr Nikolayevich Moskalenko;M;30;173;167,5513191;Russia;Trampolining;Trampolining Men's Individual;Gold
Alonzo Harding Mourning;M;30;206;257,9408465;United States;Basketball;Basketball Men's Basketball;Gold
Mikhail Mouroutsos;M;20;180;127,868112;Greece;Taekwondo;Taekwondo Men's Flyweight;Gold
Magdalena Urszula Mroczkiewicz;F;21;179;143,3004703;Poland;Fencing;Fencing Women's Foil, Team;Silver
Manuela Mucke;F;25;175;160,9374513;Germany;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Gold
Claudia Mller;F;26;178;141,0958477;Germany;Football;Football Women's Football;Bronze
Xeno Mller;M;28;190;220,462262;Switzerland;Rowing;Rowing Men's Single Sculls;Silver
Siri Lynn Mullinix;F;22;170;138,8912251;United States;Football;Football Women's Football;Silver
Mun Ui-Je;M;25;178;185,1883001;South Korea;Wrestling;Wrestling Men's Middleweight, Freestyle;Silver
Kirsten Mnchow (-Klose-);F;23;172;165,3466965;Germany;Athletics;Athletics Women's Hammer Throw;Bronze
"Timothy Alexander ""Tim"" Munnings";M;34;188;160,9374513;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
Diana Marie Munz (-DePetro);F;18;162;123,4588667;United States;Swimming;Swimming Women's 400 metres Freestyle;Silver
Diana Marie Munz (-DePetro);F;18;162;123,4588667;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
"Edward B. ""Ted"" Murphy";M;28;198;218,2576394;United States;Rowing;Rowing Men's Coxless Pairs;Silver
Sagid Magomedovich Murtazaliyev;M;26;185;213,8483941;Russia;Wrestling;Wrestling Men's Heavyweight, Freestyle;Gold
David Vladimirovi Musubes;M;28;186;249,1223561;Russia;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle;Gold
Oana Manuela Muunoi-Pantelimon;F;27;178;134,4819798;Romania;Athletics;Athletics Women's High Jump;Bronze
Halil Mutlu;M;27;150;119,0496215;Turkey;Weightlifting;Weightlifting Men's Bantamweight;Gold
Maria de Lurdes Mutola;F;27;165;138,8912251;Mozambique;Athletics;Athletics Women's 800 metres;Gold
Curtis Allen Myden;M;26;188;185,1883001;Canada;Swimming;Swimming Men's 400 metres Individual Medley;Bronze
Katsuhiko Nagata;M;26;170;152,1189608;Japan;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Silver
Anik Nagy;F;30;186;165,3466965;Hungary;Handball;Handball Women's Handball;Silver
Tmea Nagy (-Varga);F;30;180;152,1189608;Hungary;Fencing;Fencing Women's epee, Individual;Gold
Emi Naito;F;20;162;138,8912251;Japan;Softball;Softball Women's Softball;Silver
Mai Nakamura;F;21;170;147,7097155;Japan;Swimming;Swimming Women's 100 metres Backstroke;Silver
Mai Nakamura;F;21;170;147,7097155;Japan;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Bronze
Miki Nakao;F;22;162;105,8218858;Japan;Swimming;Swimming Women's 200 metres Backstroke;Bronze
Nancy Lynn Napolski-Johnson;F;26;157;123,4588667;United States;Shooting;Shooting Women's Air Rifle, 10 metres;Gold
Reinaldo Marcelino Navia Amador;M;22;170;154,3235834;Chile;Football;Football Men's Football;Bronze
Nataliya Viktorovna Nazarova;F;21;168;125,6634893;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Bronze
Armen Lyudvikovich Nazaryan;M;26;162;132,2773572;Bulgaria;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Gold
"Michael Robert ""Mike"" Neill";M;30;185;189,5975453;United States;Baseball;Baseball Men's Baseball;Gold
Gary Malcolm Neiwand;M;34;176;189,5975453;Australia;Cycling;Cycling Men's Keirin;Silver
Gary Malcolm Neiwand;M;34;176;189,5975453;Australia;Cycling;Cycling Men's Team Sprint;Bronze
Adam McCright Nelson;M;25;183;264,5547144;United States;Athletics;Athletics Men's Shot Put;Silver
Aleksey Yuryevich Nemov;M;24;174;165,3466965;Russia;Gymnastics;Gymnastics Men's Individual All-Around;Gold
Aleksey Yuryevich Nemov;M;24;174;165,3466965;Russia;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Aleksey Yuryevich Nemov;M;24;174;165,3466965;Russia;Gymnastics;Gymnastics Men's Floor Exercise;Silver
Aleksey Yuryevich Nemov;M;24;174;165,3466965;Russia;Gymnastics;Gymnastics Men's Parallel Bars;Bronze
Aleksey Yuryevich Nemov;M;24;174;165,3466965;Russia;Gymnastics;Gymnastics Men's Horizontal Bar;Gold
Aleksey Yuryevich Nemov;M;24;174;165,3466965;Russia;Gymnastics;Gymnastics Men's Pommelled Horse;Bronze
Daniel Mark Nestor;M;28;191;191,8021679;Canada;Tennis;Tennis Men's Doubles;Gold
Mariya Vyacheslavovna Netesova;F;17;174;110,231131;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Robert Frederick Newbery;M;21;174;154,3235834;Australia;Diving;Diving Men's Synchronized Springboard;Bronze
"Christopher ""Chris"" Newton";M;26;181;152,1189608;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Noah Kiprono Ngeny;M;21;182;149,9143382;Kenya;Athletics;Athletics Men's 1,500 metres;Gold
Daniel Armand Ngom Kome;M;20;172;152,1189608;Cameroon;Football;Football Men's Football;Gold
Aaron Nguimbat;M;22;;;Cameroon;Football;Football Men's Football;Gold
Lars Nieberg;M;37;183;171,9605644;Germany;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Anja Nielsen;F;25;168;138,8912251;Denmark;Handball;Handball Women's Handball;Gold
Jeanette Nilsen;F;28;181;171,9605644;Norway;Handball;Handball Women's Handball;Bronze
Hans Henrik Nilsson;M;24;190;189,5975453;Sweden;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Silver
Stefan Nimke;M;22;186;207,2345263;Germany;Cycling;Cycling Men's 1,000 metres Time Trial;Silver
Niu Zhiyuan;M;26;171;176,3698096;China;Shooting;Shooting Men's Running Target, 10 metres;Bronze
Tadahiro Nomura;M;25;164;132,2773572;Japan;Judo;Judo Men's Extra-Lightweight;Gold
Erki Nool;M;30;184;185,1883001;Estonia;Athletics;Athletics Men's Decathlon;Gold
Bente Nordby;F;26;169;136,6866024;Norway;Football;Football Women's Football;Gold
Kirstin Normand;F;26;172;149,9143382;Canada;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Justin Neville Norris;M;20;185;180,7790548;Australia;Swimming;Swimming Men's 200 metres Butterfly;Bronze
"Martin Wayne ""Marty"" Nothstein";M;29;187;211,6437715;United States;Cycling;Cycling Men's Sprint;Gold
Tara Lee Nott-Cunningham;F;28;154;105,8218858;United States;Weightlifting;Weightlifting Women's Flyweight;Gold
Ferenc Novk;M;31;175;169,7559417;Hungary;Canoeing;Canoeing Men's Canadian Doubles, 500 metres;Gold
Olga Nikolayevna Novokshchenova;F;25;176;132,2773572;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Jordi Nuez Carretero;M;31;190;196,2114132;Spain;Handball;Handball Men's Handball;Bronze
Rodrigo Fabin Nez Ortiz;M;23;180;154,3235834;Chile;Football;Football Men's Football;Bronze
