N4m3;S3x;4g3;H31ght;W31ght;T34m;Sp0rt;3v3nt;M3d4l
Flicia Michele Sylviane Ballanger (-Vetu);F;29;168;154,3235834;France;Cycling;Cycling Women's 500 metres Time Trial;Gold
Darren Balmforth;M;27;178;154,3235834;Australia;Rowing;Rowing Men's Lightweight Coxless Fours;Silver
Beatrix Balogh (-Csata);F;25;165;143,3004703;Hungary;Handball;Handball Women's Handball;Silver
Gbor Balogh;M;24;187;167,5513191;Hungary;Modern Pentathlon;Modern Pentathlon Men's Individual;Silver
Jesper Bank;M;43;184;220,462262;Denmark;Sailing;Sailing Mixed Three Person Keelboat;Gold
Pawe Baraszkiewicz;M;23;174;189,5975453;Poland;Canoeing;Canoeing Men's Canadian Doubles, 500 metres;Silver
Anne-Lise Bardet;F;30;169;127,868112;France;Canoeing;Canoeing Women's Kayak Singles, Slalom;Bronze
Sndor Istvn Brdosi;M;23;173;187,3929227;Hungary;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman;Silver
Ian Dallas Barker;M;34;183;167,5513191;Great Britain;Sailing;Sailing Mixed Skiff;Silver
David Barrufet Bofill;M;30;197;220,462262;Spain;Handball;Handball Men's Handball;Bronze
Yuliya Vladimirovna Barsukova (-Samokhin);F;21;168;99,2080179;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Individual;Gold
Krisztin Brtfai;M;26;175;171,9605644;Hungary;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Bronze
Robert Bartko;M;24;186;176,3698096;Germany;Cycling;Cycling Men's Individual Pursuit, 4,000 metres;Gold
Robert Bartko;M;24;186;176,3698096;Germany;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
Michiel Bernhard Emiel Marie Bartman;M;33;193;198,4160358;Netherlands;Rowing;Rowing Men's Quadruple Sculls;Silver
Serafim Ivanov Barzakov;M;25;170;145,5050929;Bulgaria;Wrestling;Wrestling Men's Lightweight, Freestyle;Silver
Igor Mikhaylovich Basinsky;M;37;180;213,8483941;Belarus;Shooting;Shooting Men's Air Pistol, 10 metres;Bronze
Igor Mikhaylovich Basinsky;M;37;180;213,8483941;Belarus;Shooting;Shooting Men's Free Pistol, 50 metres;Silver
Vladimir Batez;M;31;192;187,3929227;Serbia and Montenegro;Volleyball;Volleyball Men's Volleyball;Gold
"Guinevere ""Guin"" Batten";F;32;172;163,1420739;Great Britain;Rowing;Rowing Women's Quadruple Sculls;Silver
Miriam Batten (-Luke);F;35;174;154,3235834;Great Britain;Rowing;Rowing Women's Quadruple Sculls;Silver
Yelena Nikolayevna Batukhtina-Tyurina;F;29;184;180,7790548;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Sabine Christiane Bau;F;31;180;145,5050929;Germany;Fencing;Fencing Women's Foil, Team;Bronze
Dennis Bauer;M;19;190;187,3929227;Germany;Fencing;Fencing Men's Sabre, Team;Bronze
Islam Ilyasovich Bayramukov;M;29;186;213,8483941;Kazakhstan;Wrestling;Wrestling Men's Heavyweight, Freestyle;Silver
Sebastian Bea;M;23;198;196,2114132;United States;Rowing;Rowing Men's Coxless Pairs;Silver
Amanda Ray Beard (-Brown);F;18;173;130,0727346;United States;Swimming;Swimming Women's 200 metres Breaststroke;Bronze
Clment Beaud;M;19;184;178,5744322;Cameroon;Football;Football Men's Football;Gold
Lyne Beaumont;F;22;170;123,4588667;Canada;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Robin Mary Beauregard;F;21;175;178,5744322;United States;Water Polo;Water Polo Women's Water Polo;Silver
Daniel Becke;M;22;187;167,5513191;Germany;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
Otto Becker;M;41;182;171,9605644;Germany;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Violeta Beclea-Szekely;F;35;169;114,6403762;Romania;Athletics;Athletics Women's 1,500 metres;Silver
"Barbara Jane ""B. J."" Bedford (-Miller)";F;27;172;134,4819798;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Ludger Beerbaum;M;37;190;187,3929227;Germany;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
