Names;Gender;Age;Height (cm);Weight (lbs);Team;Sport;Event;Medal
Khasan Makharbekovich Baroyev;M;21;188;264,5547144;Russia;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman;Gold
Diego Daniel Barreto Cceres;M;23;182;171,9605644;Paraguay;Football;Football Men's Football;Silver
dgar Osvaldo Barreto Cceres;M;20;178;171,9605644;Paraguay;Football;Football Men's Football;Silver
Zoila Barros Fernndez;F;28;188;158,7328286;Cuba;Volleyball;Volleyball Women's Volleyball;Bronze
Yan Barthelem Varela;M;24;172;105,8218858;Cuba;Boxing;Boxing Men's Light-Flyweight;Gold
Michiel Bernhard Emiel Marie Bartman;M;37;193;198,4160358;Netherlands;Rowing;Rowing Men's Coxed Eights;Silver
Alison Bartosik;F;21;172;141,0958477;United States;Synchronized Swimming;Synchronized Swimming Women's Duet;Bronze
Alison Bartosik;F;21;172;141,0958477;United States;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Malin Birgitta Baryard-Johnsson;F;29;172;114,6403762;Sweden;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Andrea Barzagli;M;23;190;180,7790548;Italy;Football;Football Men's Football;Bronze
Gianluca Basile;M;29;192;207,2345263;Italy;Basketball;Basketball Men's Basketball;Silver
Suzy Batkovic (-Brown);F;23;195;196,2114132;Australia;Basketball;Basketball Women's Basketball;Silver
Yelena Nikolayevna Batukhtina-Tyurina;F;33;184;180,7790548;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Mavlet Alavdinovich Batyrov;M;20;160;132,2773572;Russia;Wrestling;Wrestling Men's Featherweight, Freestyle;Gold
Anna Yevgenyevna Batyushko;F;22;164;152,1189608;Belarus;Weightlifting;Weightlifting Women's Middleweight;Silver
Markus Baur;M;33;190;194,0067906;Germany;Handball;Handball Men's Handball;Silver
Myriam milie Baverel;F;23;174;154,3235834;France;Taekwondo;Taekwondo Women's Heavyweight;Silver
Ryan Neville Bayley;M;22;182;198,4160358;Australia;Cycling;Cycling Men's Sprint;Gold
Ryan Neville Bayley;M;22;182;198,4160358;Australia;Cycling;Cycling Men's Keirin;Gold
Amanda Ray Beard (-Brown);F;22;173;130,0727346;United States;Swimming;Swimming Women's 200 metres Breaststroke;Gold
Amanda Ray Beard (-Brown);F;22;173;130,0727346;United States;Swimming;Swimming Women's 200 metres Individual Medley;Silver
Amanda Ray Beard (-Brown);F;22;173;130,0727346;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Robin Mary Beauregard;F;25;175;178,5744322;United States;Water Polo;Water Polo Women's Water Polo;Bronze
Christoph Bechmann;M;32;190;194,0067906;Germany;Hockey;Hockey Men's Hockey;Bronze
Marcus Becker;M;22;180;158,7328286;Germany-1;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Silver
Otto Becker;M;45;182;171,9605644;Germany;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
"Daniel ""Dan"" Beery";M;29;200;213,8483941;United States;Rowing;Rowing Men's Coxed Eights;Gold
Adriana Brando Behar;F;35;180;141,0958477;Brazil-1;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Silver
Sofia Bekatorou (-Kosmatopoulos);F;26;172;136,6866024;Greece;Sailing;Sailing Women's Two Person Dinghy;Gold
Kenenisa Bekele Beyecha;M;22;165;123,4588667;Ethiopia;Athletics;Athletics Men's 5,000 metres;Silver
Kenenisa Bekele Beyecha;M;22;165;123,4588667;Ethiopia;Athletics;Athletics Men's 10,000 metres;Gold
Daima Mayelis Beltrn Guisado;F;31;182;229,2807525;Cuba;Judo;Judo Women's Heavyweight;Silver
Olesya Vladimirovna Belugina;F;20;175;116,8449989;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Tibor Benedek;M;32;190;211,6437715;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Andrea Benelli;M;44;173;176,3698096;Italy;Shooting;Shooting Men's Skeet;Gold
Rolf-Gran Bengtsson;M;42;171;147,7097155;Sweden;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Hasna Benhassi;F;26;166;103,6172631;Morocco;Athletics;Athletics Women's 800 metres;Silver
Pedro Juan Bentez Domnguez;M;23;190;176,3698096;Paraguay;Football;Football Men's Football;Silver
Lindsay Dianne Benko (-Mintenko);F;27;185;163,1420739;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Lindsay Dianne Benko (-Mintenko);F;27;185;163,1420739;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Dmitry Vladimirovich Berestov;M;24;180;231,4853751;Russia;Weightlifting;Weightlifting Men's Heavyweight;Gold
Laura Kay Berg;F;29;168;134,4819798;United States;Softball;Softball Women's Softball;Gold
Lorenzo Bertini;M;28;187;154,3235834;Italy;Rowing;Rowing Men's Lightweight Coxless Fours;Bronze
Danny Betancourt Chacn;M;23;175;165,3466965;Cuba;Baseball;Baseball Men's Baseball;Gold
Paolo Bettini;M;30;169;127,868112;Italy;Cycling;Cycling Men's Road Race, Individual;Gold
Hanna Volodymyrivna Bezsonova;F;20;174;108,0265084;Ukraine;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Individual;Bronze
Mohini Bhardwaj (-Barry);F;25;147;94,79877266;United States;Gymnastics;Gymnastics Women's Team All-Around;Silver
Yuliya Valentinovna Bichik;F;21;184;185,1883001;Belarus;Rowing;Rowing Women's Coxless Pairs;Bronze
Sebastian Friedrich Felix Biederlack;M;22;176;160,9374513;Germany;Hockey;Hockey Men's Hockey;Bronze
Serhiy Oleksandrovych Biloushchenko;M;22;201;220,462262;Ukraine;Rowing;Rowing Men's Quadruple Sculls;Bronze
Thomas Bimis;M;29;169;152,1189608;Greece;Diving;Diving Men's Synchronized Springboard;Gold
"Suzanne Brigit ""Sue"" Bird";F;23;175;145,5050929;United States;Basketball;Basketball Women's Basketball;Gold
Pter Biros;M;28;196;224,8715072;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
"Catherine ""Cath"" Bishop";F;32;184;187,3929227;Great Britain;Rowing;Rowing Women's Coxless Pairs;Silver
Julie Lynne Black-Burns Richards;F;33;170;119,0496215;United States;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Bronze
Elisa Blanchi;F;16;168;108,0265084;Italy;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Claudia Blasberg;F;29;182;125,6634893;Germany;Rowing;Rowing Women's Lightweight Double Sculls;Silver
Aleksandr Aleksandrovich Blinov;M;22;185;209,4391489;Russia;Shooting;Shooting Men's Running Target, 10 metres;Silver
Gbor Gyula Boczk;M;27;192;196,2114132;Hungary;Fencing;Fencing Men's epee, Team;Silver
Annett Bhm;F;24;179;182,9836775;Germany;Judo;Judo Women's Middleweight;Bronze
ric Boisse;M;24;180;154,3235834;France;Fencing;Fencing Men's epee, Team;Gold
Arnaud Boiteau;M;30;185;167,5513191;France;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
Claudia Bokel;F;30;183;143,3004703;Germany;Fencing;Fencing Women's epee, Team;Silver
Daniele Bonera;M;23;185;176,3698096;Italy;Football;Football Men's Football;Bronze
Yvonne Bnisch;F;23;168;134,4819798;Germany;Judo;Judo Women's Lightweight;Gold
Beniamino Bonomi;M;36;182;187,3929227;Italy;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Silver
Minke Gertine Booij;F;27;163;125,6634893;Netherlands;Hockey;Hockey Women's Hockey;Silver
Ageeth Boomgaardt;F;31;168;138,8912251;Netherlands;Hockey;Hockey Women's Hockey;Silver
Manut Boonjumnong;M;24;173;141,0958477;Thailand;Boxing;Boxing Men's Light-Welterweight;Gold
Yaowapa Boorapolchai;F;19;159;108,0265084;Thailand;Taekwondo;Taekwondo Women's Flyweight;Bronze
Carlos Austin Boozer, Jr.;M;22;206;257,9408465;United States;Basketball;Basketball Men's Basketball;Bronze
Anastasiya Valerivna Borodina;F;22;192;165,3466965;Ukraine;Handball;Handball Women's Handball;Bronze
Kathrin Boron (-Kppen);F;34;184;169,7559417;Germany;Rowing;Rowing Women's Quadruple Sculls;Gold
Luis Borroto Jimnez;M;21;185;171,9605644;Cuba;Baseball;Baseball Men's Baseball;Gold
Nataliya Serhivna Borysenko;F;28;188;158,7328286;Ukraine;Handball;Handball Women's Handball;Bronze
Yury Mikhaylovich Borzakovsky;M;23;183;154,3235834;Russia;Athletics;Athletics Men's 800 metres;Gold
