Names;Gender;Age;Height (cm);Weight (lbs);Team;Sport;Event;Medal
Nataliya Viktorivna Liapina;F;28;168;132,2773572;Ukraine;Handball;Handball Women's Handball;Bronze
Kristine Marie Lilly (-Heavey);F;33;160;123,4588667;United States;Football;Football Women's Football;Gold
Flandy Limpele;M;30;181;160,9374513;Indonesia-1;Badminton;Badminton Men's Doubles;Bronze
Lin Sang;F;26;168;143,3004703;China;Archery;Archery Women's Team;Silver
Renate Lingor;F;28;165;123,4588667;Germany;Football;Football Women's Football;Bronze
"Kyriaki ""Kiki"" Liosi";F;24;170;138,8912251;Greece;Water Polo;Water Polo Women's Water Polo;Silver
Liu Chunhong;F;21;160;152,1189608;China;Weightlifting;Weightlifting Women's Light-Heavyweight;Gold
Liu Ming-Huang;M;19;179;165,3466965;Chinese Taipei;Archery;Archery Men's Team;Silver
Liu Xia;F;25;178;171,9605644;China;Judo;Judo Women's Half-Heavyweight;Silver
Liu Xiang;M;21;188;163,1420739;China;Athletics;Athletics Men's 110 metres Hurdles;Gold
Liu Yanan;F;23;186;160,9374513;China;Volleyball;Volleyball Women's Volleyball;Gold
Signe Livbjerg;F;24;165;123,4588667;Denmark;Sailing;Sailing Women's One Person Dinghy;Bronze
Brent James Livermore;M;28;177;163,1420739;Australia;Hockey;Hockey Men's Hockey;Gold
Ivan Ljubii;M;25;193;185,1883001;Croatia;Tennis;Tennis Men's Doubles;Bronze
Joan Llaneras Rossell;M;35;180;143,3004703;Spain;Cycling;Cycling Men's Points Race;Silver
Graeme John Lloyd;M;37;200;238,099243;Australia;Baseball;Baseball Men's Baseball;Silver
Ryan Steven Lochte;M;20;188;194,0067906;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Ryan Steven Lochte;M;20;188;194,0067906;United States;Swimming;Swimming Men's 200 metres Individual Medley;Silver
Glen Loftus;M;28;187;154,3235834;Australia;Rowing;Rowing Men's Lightweight Coxless Fours;Silver
Tatyana Yuryevna Logunova;F;24;174;136,6866024;Russia;Fencing;Fencing Women's epee, Team;Gold
Michel Lpez Nez;M;27;189;200,6206584;Cuba;Boxing;Boxing Men's Super-Heavyweight;Bronze
Steven Lopez;M;25;191;182,9836775;United States;Taekwondo;Taekwondo Men's Welterweight;Gold
Ericka Denise Lorenz;F;23;180;156,528206;United States;Water Polo;Water Polo Women's Water Polo;Bronze
Venio Losert;M;28;191;205,0299037;Croatia;Handball;Handball Men's Handball;Gold
John Clay Lovell, III;M;36;170;169,7559417;United States;Sailing;Sailing Mixed Multihull;Silver
Sara Elizabeth Lowe;F;20;167;123,4588667;United States;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Rodion Mykhailovych Luka;M;31;170;138,8912251;Ukraine;Sailing;Sailing Mixed Skiff;Silver
Luo Wei;F;21;180;147,7097155;China;Taekwondo;Taekwondo Women's Welterweight;Gold
Luo Xuejuan;F;20;167;141,0958477;China;Swimming;Swimming Women's 100 metres Breaststroke;Gold
Yurisleidy Lupetey Cobas;F;23;162;125,6634893;Cuba;Judo;Judo Women's Lightweight;Bronze
Christian Lusch;M;23;186;182,9836775;Germany;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Silver
Manuela Lutze;F;30;185;171,9605644;Germany;Rowing;Rowing Women's Quadruple Sculls;Gold
Germn Daro Lux;M;22;186;171,9605644;Argentina;Football;Football Men's Football;Gold
Cdric Vincent Simon Lyard;M;32;172;145,5050929;France;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
Dmitry Valeryevich Lykin;M;30;178;185,1883001;Russia;Shooting;Shooting Men's Running Target, 10 metres;Bronze
Oleh Viktorovych Lykov;M;31;202;231,4853751;Ukraine;Rowing;Rowing Men's Quadruple Sculls;Bronze
Ma Lin;M;24;176;163,1420739;China-1;Table Tennis;Table Tennis Men's Doubles;Gold
David Ross MacDonald;M;39;175;185,1883001;Canada;Sailing;Sailing Men's Two Person Keelboat;Silver
Roger Machado Morales;M;30;177;194,0067906;Cuba;Baseball;Baseball Men's Baseball;Gold
"Timothy ""Tim"" Mack";M;31;187;178,5744322;United States;Athletics;Athletics Men's Pole Vault;Gold
"Kate ""Katie"" Mactier";F;29;171;125,6634893;Australia;Cycling;Cycling Women's Individual Pursuit, 3,000 metres;Silver
Norbert Madaras;M;24;191;200,6206584;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
"Elizabeth ""Beezie"" Madden (Patton-)";F;40;168;138,8912251;United States;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Asier Maeztu Villalabeitia;M;26;187;182,9836775;Spain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
"Samantha ""Sam"" Magee";F;21;182;182,9836775;United States;Rowing;Rowing Women's Coxed Eights;Silver
Filippo Magnini;M;22;188;176,3698096;Italy;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Jesse Mahieu;M;25;195;202,825281;Netherlands;Hockey;Hockey Men's Hockey;Silver
Istvn Majoros;M;30;165;132,2773572;Hungary;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Gold
Vyacheslav Nikolayevich Makarenko;M;28;180;185,1883001;Belarus;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman;Bronze
Igor Viktorovich Makarov;M;25;180;220,462262;Belarus;Judo;Judo Men's Half-Heavyweight;Gold
Sergey Aleksandrovich Makarov;M;31;192;220,462262;Russia;Athletics;Athletics Men's Javelin Throw;Bronze
Vitaly Valeryevich Makarov;M;30;174;160,9374513;Russia;Judo;Judo Men's Lightweight;Silver
Vadim Gennadyevich Makhnyov;M;24;196;220,462262;Belarus;Canoeing;Canoeing Men's Kayak Doubles, 500 metres;Bronze
Nikolay Mikhaylovich Maksimov;M;31;190;209,4391489;Russia;Water Polo;Water Polo Men's Water Polo;Bronze
Giusi Letizia Malato;F;33;170;169,7559417;Italy;Water Polo;Water Polo Women's Water Polo;Gold
Gaydar Nuruddin ogly Mamedaliyev;M;30;155;121,2542441;Russia;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Silver
Laure Manaudou;F;17;180;152,1189608;France;Swimming;Swimming Women's 400 metres Freestyle;Gold
Laure Manaudou;F;17;180;152,1189608;France;Swimming;Swimming Women's 800 metres Freestyle;Silver
Laure Manaudou;F;17;180;152,1189608;France;Swimming;Swimming Women's 100 metres Backstroke;Bronze
Vronique Mang;F;19;173;130,0727346;France;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Mirela Maniani-Tzelili;F;27;165;141,0958477;Greece;Athletics;Athletics Women's Javelin Throw;Bronze
Paul Christian Manning;M;29;189;167,5513191;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Mkhitar Razmikovich Manukyan;M;31;166;138,8912251;Kazakhstan;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Bronze
Gyuzel Tagirovna Manyurova;F;26;174;165,3466965;Russia;Wrestling;Wrestling Women's Heavyweight, Freestyle;Silver
Julio Csar Manzur Caffarena;M;23;185;182,9836775;Paraguay;Football;Football Men's Football;Silver
Stephon Xavier Marbury;M;27;187;202,825281;United States;Basketball;Basketball Men's Basketball;Bronze
Denis Marconato;M;29;211;253,5316013;Italy;Basketball;Basketball Men's Basketball;Silver
"Mara Mercedes ""Mechi"" Margalot";F;29;159;114,6403762;Argentina;Hockey;Hockey Women's Hockey;Bronze
Zornitsa Marinova;F;17;170;114,6403762;Bulgaria;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Shawn Dwayne Marion;M;26;200;213,8483941;United States;Basketball;Basketball Men's Basketball;Bronze
Halyna Petrivna Markushevska;F;28;192;187,3929227;Ukraine;Handball;Handball Women's Handball;Bronze
Marta Vieira da Silva;F;18;162;127,868112;Brazil;Football;Football Women's Football;Silver
Michal Martikn;M;25;170;160,9374513;Slovakia;Canoeing;Canoeing Men's Canadian Singles, Slalom;Silver
Conchita Martnez Bernat;F;32;170;130,0727346;Spain-2;Tennis;Tennis Women's Doubles;Silver
Emilio Damin Martnez Martnez;M;23;177;171,9605644;Paraguay;Football;Football Men's Football;Silver
Iker Martnez de Lizarduy Lizarribar;M;27;173;154,3235834;Spain;Sailing;Sailing Mixed Skiff;Gold
Joan Lino Martnez Armenteros;M;26;176;152,1189608;Spain;Athletics;Athletics Men's Long Jump;Bronze
Jonder Martnez Martnez;M;26;187;165,3466965;Cuba;Baseball;Baseball Men's Baseball;Gold
Manuel Martnez Gutirrez;M;29;185;291,0101858;Spain;Athletics;Athletics Men's Shot Put;Bronze
Mayvelis A. Martnez Aldm;F;27;178;171,9605644;Cuba;Volleyball;Volleyball Women's Volleyball;Bronze
Sergey Anatolyevich Martynov;M;36;173;143,3004703;Belarus;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Bronze
Franco Marvulli;M;25;191;180,7790548;Switzerland;Cycling;Cycling Men's Madison;Silver
Bruno Miguel Mascarenhas Antunes;M;23;181;160,9374513;Italy;Rowing;Rowing Men's Lightweight Coxless Fours;Bronze
Javier Alejandro Mascherano;M;20;171;145,5050929;Argentina;Football;Football Men's Football;Gold
Daniela Masseroni;F;19;170;105,8218858;Italy;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Nicols Alejandro Mass Fried;M;26;182;176,3698096;Chile;Tennis;Tennis Men's Singles;Gold
Nicols Alejandro Mass Fried;M;26;182;176,3698096;Chile;Tennis;Tennis Men's Doubles;Gold
Luigi Mastrangelo;M;28;202;198,4160358;Italy;Volleyball;Volleyball Men's Volleyball;Silver
Svitlana Valerivna Matevusheva;F;23;178;165,3466965;Ukraine;Sailing;Sailing Women's Three Person Keelboat;Silver
Julia Matijass;F;30;161;105,8218858;Germany;Judo;Judo Women's Extra-Lightweight;Bronze
Antony Matkovich;M;27;196;202,825281;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Valter Matoevi;M;34;194;218,2576394;Croatia;Handball;Handball Men's Handball;Gold
Daisuke Matsuzaka;M;23;182;187,3929227;Japan;Baseball;Baseball Men's Baseball;Bronze
Amlie Simone Mauresmo;F;25;175;152,1189608;France;Tennis;Tennis Women's Singles;Silver
Maurcio Camargo Lima;M;36;184;178,5744322;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Misty Erie May-Treanor;F;27;175;158,7328286;United States-1;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Gold
"Andria ""Maycon"" dos Santos";F;27;155;123,4588667;Brazil;Football;Football Women's Football;Silver
Michael John Maze;M;22;185;167,5513191;Denmark;Table Tennis;Table Tennis Men's Doubles;Bronze
Franoise Mbango Etone;F;28;172;138,8912251;Cameroon;Athletics;Athletics Women's Triple Jump;Gold
Michael Anthony McCann;M;26;182;160,9374513;Australia;Hockey;Hockey Men's Hockey;Gold
Brett McClure;M;23;167;147,7097155;United States;Gymnastics;Gymnastics Men's Team All-Around;Silver
Courtney Lynn McCool;F;16;154;94,79877266;United States;Gymnastics;Gymnastics Women's Team All-Around;Silver
Beverly McDonald (-Stewart);F;34;169;130,0727346;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
"Deborah ""Debbie"" McDonald";F;49;152;108,0265084;United States;Equestrianism;Equestrianism Mixed Dressage, Team;Bronze
Lauren McFall;F;24;175;127,868112;United States;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Danny D. McFarlane;M;32;183;165,3466965;Jamaica;Athletics;Athletics Men's 400 metres Hurdles;Silver
"Bradley John ""Brad"" McGee";M;28;182;158,7328286;Australia;Cycling;Cycling Men's Individual Pursuit, 4,000 metres;Silver
"Bradley John ""Brad"" McGee";M;28;182;158,7328286;Australia;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
"Michael Scott ""Mike"" McKay";M;39;192;200,6206584;Australia;Rowing;Rowing Men's Coxed Eights;Bronze
Sara McMann;F;23;167;136,6866024;United States;Wrestling;Wrestling Women's Middleweight, Freestyle;Silver
Holly S. McPeak (-Armato);F;35;170;136,6866024;United States-2;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Bronze
Anna Maree Devenish Meares;F;20;165;154,3235834;Australia;Cycling;Cycling Women's Sprint;Bronze
Anna Maree Devenish Meares;F;20;165;154,3235834;Australia;Cycling;Cycling Women's 500 metres Time Trial;Gold
Nicols Rubn Medina;M;22;176;165,3466965;Argentina;Football;Football Men's Football;Gold
Helge Folkert Meeuw;M;19;178;167,5513191;Germany;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Zemfira Aliyevna Meftkhtddinova;F;41;164;145,5050929;Azerbaijan;Shooting;Shooting Women's Skeet;Bronze
Antiopi Melidoni;F;26;171;138,8912251;Greece;Water Polo;Water Polo Women's Water Polo;Silver
Jessica Mendoza (-Burks);F;23;173;145,5050929;United States;Softball;Softball Women's Softball;Gold
Osleidys Menndez Sez;F;24;175;176,3698096;Cuba;Athletics;Athletics Women's Javelin Throw;Gold
Meng Guanliang;M;27;185;198,4160358;China;Canoeing;Canoeing Men's Canadian Doubles, 500 metres;Gold
Danil Theodor Mensch;M;25;200;213,8483941;Netherlands;Rowing;Rowing Men's Coxed Eights;Silver
Axel Merckx;M;32;191;167,5513191;Belgium;Cycling;Cycling Men's Road Race, Individual;Bronze
Iryna Oleksivna Merleni-Mykulchyn (Melnyk-);F;22;156;105,8218858;Ukraine;Wrestling;Wrestling Women's Flyweight, Freestyle;Gold
Faustine Lucie Merret;F;26;163;119,0496215;France;Sailing;Sailing Women's Windsurfer;Gold
Liana Mesa Luaces;F;26;182;160,9374513;Cuba;Volleyball;Volleyball Women's Volleyball;Bronze
Giandomenico Mesto;M;22;180;171,9605644;Italy;Football;Football Men's Football;Bronze
Malia Metella;F;22;175;147,7097155;France;Swimming;Swimming Women's 50 metres Freestyle;Silver
Petar Metlii;M;27;194;207,2345263;Croatia;Handball;Handball Men's Handball;Gold
Mia Audina Tjiptawan-Lobman;F;24;163;147,7097155;Netherlands;Badminton;Badminton Women's Singles;Silver
Michele Mian;M;31;193;209,4391489;Italy;Basketball;Basketball Men's Basketball;Silver
Martina Miceli;F;30;168;136,6866024;Italy;Water Polo;Water Polo Women's Water Polo;Gold
Bjrn Michel;M;29;185;180,7790548;Germany;Hockey;Hockey Men's Hockey;Bronze
Chantelle Lee Michell-Newbery;F;27;153;116,8449989;Australia;Diving;Diving Women's Platform;Gold
Chantelle Lee Michell-Newbery;F;27;153;116,8449989;Australia;Diving;Diving Women's Synchronized Springboard;Bronze
Anna Mickelson-Cummins;F;24;183;165,3466965;United States;Rowing;Rowing Women's Coxed Eights;Silver
Henriette Rnde (-Henriette Mller) Mikkelsen;F;23;166;138,8912251;Denmark;Handball;Handball Women's Handball;Gold
Coby Miller;M;27;168;149,9143382;United States;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Alice Mary Mills (-Tait);F;18;175;138,8912251;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Alice Mary Mills (-Tait);F;18;175;138,8912251;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Sandra Minnert;F;31;173;149,9143382;Germany;Football;Football Women's Football;Bronze
Danny Miranda Agramonte;M;25;178;202,825281;Cuba;Baseball;Baseball Men's Baseball;Gold
Patricia Noriko Miranda;F;25;152;105,8218858;United States;Wrestling;Wrestling Women's Flyweight, Freestyle;Bronze
Aleksey Vladimirovich Mishin;M;25;175;185,1883001;Russia;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman;Gold
Masumi Mishina;F;22;163;138,8912251;Japan;Softball;Softball Women's Softball;Bronze
Heather Blaine Mitts (-Feeley);F;26;165;121,2542441;United States;Football;Football Women's Football;Gold
Daisuke Miura;M;30;183;194,0067906;Japan;Baseball;Baseball Men's Baseball;Bronze
Shinya Miyamoto;M;33;176;176,3698096;Japan;Baseball;Baseball Men's Baseball;Bronze
Hisashi Mizutori;M;24;172;136,6866024;Japan;Gymnastics;Gymnastics Men's Team All-Around;Gold
Aas Mmmdov;M;24;169;119,0496215;Azerbaijan;Boxing;Boxing Men's Bantamweight;Bronze
Frid Mnsurov;M;22;174;145,5050929;Azerbaijan;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Gold
John Moffitt;M;23;185;171,9605644;United States;Athletics;Athletics Men's Long Jump;Silver
Andrey Sergeyevich Moiseyev;M;25;195;182,9836775;Russia;Modern Pentathlon;Modern Pentathlon Men's Individual;Gold
Yury Sergeyevich Molchan;M;21;185;158,7328286;Russia;Fencing;Fencing Men's Foil, Team;Bronze
Alicia Molik;F;23;182;171,9605644;Australia;Tennis;Tennis Women's Singles;Bronze
Tams Molnr;M;29;193;229,2807525;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Mnica Anglica de Paula;F;26;178;167,5513191;Brazil;Football;Football Women's Football;Silver
Aldo Montano;M;25;184;180,7790548;Italy;Fencing;Fencing Men's Sabre, Individual;Gold
Aldo Montano;M;25;184;180,7790548;Italy;Fencing;Fencing Men's Sabre, Team;Silver
Alejandro Ariel Montecchia;M;32;182;182,9836775;Argentina;Basketball;Basketball Men's Basketball;Gold
Frank Andy Montieth Herrera;M;19;186;171,9605644;Cuba;Baseball;Baseball Men's Baseball;Gold
Roberto Monzn Gonzlez;M;26;166;132,2773572;Cuba;Wrestling;Wrestling Men's Lightweight, Greco-Roman;Silver
Heather L. Moody;F;30;182;169,7559417;United States;Water Polo;Water Polo Women's Water Polo;Bronze
"Antonia ""Tonia"" Moraiti";F;27;165;119,0496215;Greece;Water Polo;Water Polo Women's Water Polo;Silver
"Evangelia ""Evi"" Moraitidou";F;29;184;163,1420739;Greece;Water Polo;Water Polo Women's Water Polo;Silver
Ftima Moreira de Melo;F;26;160;121,2542441;Netherlands;Hockey;Hockey Women's Hockey;Silver
Patricia Moreno Snchez;F;16;143;68,34330122;Spain;Gymnastics;Gymnastics Women's Floor Exercise;Bronze
Yipsi Moreno Gonzlez;F;23;175;171,9605644;Cuba;Athletics;Athletics Women's Hammer Throw;Silver
Emiliano Moretti;M;23;185;176,3698096;Italy;Football;Football Men's Football;Bronze
Lucia Morico;F;28;179;171,9605644;Italy;Judo;Judo Women's Half-Heavyweight;Bronze
Tomomi Morita;M;19;169;149,9143382;Japan;Swimming;Swimming Men's 100 metres Backstroke;Bronze
Tomomi Morita;M;19;169;149,9143382;Japan;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
Melissa Renee Morrison (-Howard);F;33;164;123,4588667;United States;Athletics;Athletics Women's 100 metres Hurdles;Bronze
Simmone Anne Morrow;F;27;169;136,6866024;Australia;Softball;Softball Women's Softball;Silver
Karin rnhj Mortensen;F;26;182;169,7559417;Denmark;Handball;Handball Women's Handball;Gold
Aleksandr Nikolayevich Moskalenko;M;34;173;167,5513191;Russia;Trampolining;Trampolining Men's Individual;Silver
Tracey Mosley;F;30;170;160,9374513;Australia;Softball;Softball Women's Softball;Silver
Mabel Mosquera Mena;F;35;164;116,8449989;Colombia;Weightlifting;Weightlifting Women's Featherweight;Bronze
Masoud Mostafa Jokar;M;26;164;132,2773572;Iran;Wrestling;Wrestling Men's Lightweight, Freestyle;Silver
Alison Mowbray;F;33;181;158,7328286;Great Britain;Rowing;Rowing Women's Quadruple Sculls;Silver
Stephen Martin Mowlam;M;27;182;160,9374513;Australia;Hockey;Hockey Men's Hockey;Gold
Stephan Mlvig;M;25;180;165,3466965;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Lori-Ann Muenzer;F;38;175;176,3698096;Canada;Cycling;Cycling Women's Sprint;Gold
Mbulaeni Tongai Mulaudzi;M;23;171;136,6866024;South Africa;Athletics;Athletics Men's 800 metres;Silver
Eefke Marije Mulder;F;26;177;138,8912251;Netherlands;Hockey;Hockey Women's Hockey;Silver
Martina Mller;F;24;161;123,4588667;Germany;Football;Football Women's Football;Bronze
Silke Mller;F;25;165;125,6634893;Germany;Hockey;Hockey Women's Hockey;Gold
Mun Dae-Seong;M;27;191;200,6206584;South Korea;Taekwondo;Taekwondo Men's Heavyweight;Gold
Mun Gyeong-Ha;F;24;176;136,6866024;South Korea;Handball;Handball Women's Handball;Silver
Mun Pil-Hui;F;21;168;136,6866024;South Korea;Handball;Handball Women's Handball;Silver
Mun Ui-Je;M;29;178;185,1883001;South Korea;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle;Silver
Anniara Muoz Carrazana;F;24;183;145,5050929;Cuba;Volleyball;Volleyball Women's Volleyball;Bronze
Thalia Janina Munro;F;22;177;154,3235834;United States;Water Polo;Water Polo Women's Water Polo;Bronze
Diana Marie Munz (-DePetro);F;22;162;123,4588667;United States;Swimming;Swimming Women's 800 metres Freestyle;Bronze
Arihito Muramatsu;M;31;177;171,9605644;Japan;Baseball;Baseball Men's Baseball;Bronze
Koji Alexander Murofushi;M;29;187;211,6437715;Japan;Athletics;Athletics Men's Hammer Throw;Gold
Makhach Dalgatovich Murtazaliyev;M;20;172;145,5050929;Russia;Wrestling;Wrestling Men's Welterweight, Freestyle;Bronze
Yelena Anatolyevna Murzina;F;20;178;114,6403762;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Maddalena Musumeci;F;28;170;143,3004703;Italy;Water Polo;Water Polo Women's Water Polo;Gold
Halil Mutlu;M;31;150;119,0496215;Turkey;Weightlifting;Weightlifting Men's Bantamweight;Gold
Myeom Bok-Hui;F;25;168;145,5050929;South Korea;Handball;Handball Women's Handball;Silver
"Anthoula ""Anthi"" Mylonaki";F;20;178;169,7559417;Greece;Water Polo;Water Polo Women's Water Polo;Silver
"Elisavet ""Elli"" Mystakidou";F;26;177;147,7097155;Greece;Taekwondo;Taekwondo Women's Welterweight;Silver
Na Gyeong-Min;F;27;175;143,3004703;South Korea-1;Badminton;Badminton Women's Doubles;Bronze
Tomohiro Nagatsuka;M;25;182;171,9605644;Japan;Cycling;Cycling Men's Team Sprint;Silver
Tmea Nagy (-Varga);F;33;180;152,1189608;Hungary;Fencing;Fencing Women's epee, Individual;Gold
Emi Naito;F;24;162;138,8912251;Japan;Softball;Softball Women's Softball;Bronze
Norihiro Nakamura;M;31;180;207,2345263;Japan;Baseball;Baseball Men's Baseball;Bronze
Reiko Nakamura;F;22;166;121,2542441;Japan;Swimming;Swimming Women's 200 metres Backstroke;Bronze
Yuko Nakanishi;F;23;165;119,0496215;Japan;Swimming;Swimming Women's 200 metres Butterfly;Bronze
Daisuke Nakano;M;21;163;127,868112;Japan;Gymnastics;Gymnastics Men's Team All-Around;Gold
Nalbert Tavares Bitencourt;M;30;196;200,6206584;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Andr Luiz da Silva Nascimento;M;25;195;209,4391489;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Ruslan Rafikovich Nasibullin;M;23;182;158,7328286;Russia;Fencing;Fencing Men's Foil, Team;Bronze
Nataliya Viktorovna Nazarova;F;25;168;125,6634893;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Armen Lyudvikovich Nazaryan;M;30;162;132,2773572;Bulgaria;Wrestling;Wrestling Men's Lightweight, Greco-Roman;Bronze
"Wincatherine Nyambura ""Catherine"" Ndereba";F;32;160;99,2080179;Kenya;Athletics;Athletics Women's Marathon;Silver
Ryk Neethling;M;26;196;209,4391489;South Africa;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Adam McCright Nelson;M;29;183;264,5547144;United States;Athletics;Athletics Men's Shot Put;Gold
Lianne McLellan Nelson-Bennion;F;32;177;149,9143382;United States;Rowing;Rowing Women's Coxed Eights;Silver
Zsolt Nemcsik;M;26;188;194,0067906;Hungary;Fencing;Fencing Men's Sabre, Individual;Silver
"Stefanie ""Steffi"" Nerius";F;32;178;158,7328286;Germany;Athletics;Athletics Women's Javelin Throw;Silver
Stephanie Nesbitt;F;19;165;114,6403762;United States;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Yuliya Viktorovna Nesterenko (Bartsevich-);F;25;176;136,6866024;Belarus;Athletics;Athletics Women's 100 metres;Gold
Mikhail Valeryevich Nestruyev;M;35;174;134,4819798;Russia;Shooting;Shooting Men's Air Pistol, 10 metres;Silver
Mikhail Valeryevich Nestruyev;M;35;174;134,4819798;Russia;Shooting;Shooting Men's Free Pistol, 50 metres;Gold
Robert Frederick Newbery;M;25;174;154,3235834;Australia;Diving;Diving Men's Synchronized Springboard;Bronze
Robert Frederick Newbery;M;25;174;154,3235834;Australia;Diving;Diving Men's Synchronized Platform;Bronze
"Christopher ""Chris"" Newton";M;30;181;152,1189608;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Slobodan Niki;M;21;197;233,6899977;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Silver
Yuriy Viktorovych Nikitin;M;26;172;136,6866024;Ukraine;Trampolining;Trampolining Men's Individual;Gold
Alexandros Nikolaidis;M;24;201;228,1784412;Greece;Taekwondo;Taekwondo Men's Heavyweight;Silver
Olga Viktorovna Nikolayeva;F;32;190;163,1420739;Russia;Volleyball;Volleyball Women's Volleyball;Silver
"David Wayne ""Dave"" Nilsson";M;34;193;242,5084882;Australia;Baseball;Baseball Men's Baseball;Silver
Hans Henrik Nilsson;M;28;190;189,5975453;Sweden;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Gold
Stefan Nimke;M;26;186;207,2345263;Germany;Cycling;Cycling Men's 1,000 metres Time Trial;Bronze
Stefan Nimke;M;26;186;207,2345263;Germany;Cycling;Cycling Men's Team Sprint;Gold
Maureen Roxane Nelly Nisima;F;23;165;138,8912251;France;Fencing;Fencing Women's epee, Individual;Bronze
Maureen Roxane Nelly Nisima;F;23;165;138,8912251;France;Fencing;Fencing Women's epee, Team;Bronze
Niu Jianfeng;F;23;164;112,4357536;China-2;Table Tennis;Table Tennis Women's Doubles;Bronze
Denis Gennadyevich Nizhegorodov;M;24;174;138,8912251;Russia;Athletics;Athletics Men's 50 kilometres Walk;Silver
Andrs Marcelo Nocioni Roux;M;24;201;224,8715072;Argentina;Basketball;Basketball Men's Basketball;Gold
Mizuki Noguchi;F;26;150;88,1849048;Japan;Athletics;Athletics Women's Marathon;Gold
Maike Nollen;F;26;174;143,3004703;Germany;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Gold
Tadahiro Nomura;M;29;164;132,2773572;Japan;Judo;Judo Men's Extra-Lightweight;Gold
Dmitry Yuryevich Nosov;M;24;176;385,8089585;Russia;Judo;Judo Men's Half-Middleweight;Bronze
Olga Nikolayevna Novokshchenova;F;29;176;132,2773572;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Ramaz Nozadze;M;20;184;211,6437715;Georgia;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;Silver
Louise Bager Bager Nrgaard (-Due);F;22;183;160,9374513;Denmark;Handball;Handball Women's Handball;Gold
Stacey Annette Nuveman (-Deniz);F;26;183;240,3038656;United States;Softball;Softball Women's Softball;Gold
Leah Marie O'Brien-Amico;F;29;175;143,3004703;United States;Softball;Softball Women's Softball;Gold
Fabricio Ral Jess Oberto;M;31;208;253,5316013;Argentina;Basketball;Basketball Men's Basketball;Gold
Francis Obiorah Obikwelu;M;25;195;174,165187;Portugal;Athletics;Athletics Men's 100 metres;Silver
Hugues Obry;M;31;185;165,3466965;France;Fencing;Fencing Men's epee, Team;Gold
Isabella Bosibori Ochichi;F;24;152;90,38952742;Kenya;Athletics;Athletics Women's 5,000 metres;Silver
Viola Odebrecht;F;21;175;136,6866024;Germany;Football;Football Women's Football;Bronze
Vicyohandri Odeln Sanam;M;24;179;185,1883001;Cuba;Baseball;Baseball Men's Baseball;Gold
Lamar Joseph Odom;M;24;208;224,8715072;United States;Basketball;Basketball Men's Basketball;Bronze
