Names;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Li Jia Wei;F;26;170;132,2773572;Singapore;Table Tennis;Table Tennis Women's Team;Silver
Li Juan;F;27;187;160,9374513;China;Volleyball;Volleyball Women's Volleyball;Bronze
Li Shanshan;F;16;145;79,36641432;China;Gymnastics;Gymnastics Women's Team All-Around;Gold
Li Shuang;F;30;161;123,4588667;China;Hockey;Hockey Women's Hockey;Silver
Li Wenquan;M;22;172;138,8912251;China;Archery;Archery Men's Team;Bronze
Li Xiaopeng;M;27;162;123,4588667;China;Gymnastics;Gymnastics Men's Team All-Around;Gold
Li Xiaopeng;M;27;162;123,4588667;China;Gymnastics;Gymnastics Men's Parallel Bars;Gold
Liao Hui;M;20;168;152,1189608;China;Weightlifting;Weightlifting Men's Lightweight;Gold
Christina Liebherr;F;29;171;132,2773572;Switzerland;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
Kevin Richard Light;M;29;190;202,825281;Canada;Rowing;Rowing Men's Coxed Eights;Gold
Lin Dan;M;24;177;154,3235834;China;Badminton;Badminton Men's Singles;Gold
Lin Yue;M;17;163;116,8449989;China;Diving;Diving Men's Synchronized Platform;Gold
Caroline Lind;F;25;183;176,3698096;United States;Rowing;Rowing Women's Coxed Eights;Gold
Renate Lingor;F;32;165;123,4588667;Germany;Football;Football Women's Football;Bronze
Iryna Anatolivna Lishchynska (Nedelenko-);F;32;160;123,4588667;Ukraine;Athletics;Athletics Women's 1,500 metres;Silver
Yekaterina Viktorovna Lisina;F;20;202;187,3929227;Russia;Basketball;Basketball Women's Basketball;Bronze
Artur Sergeyevich Litvinchuk;M;20;189;182,9836775;Belarus;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
Lyudmila Anatolyevna Litvinova;F;23;174;136,6866024;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Liu Chunhong;F;25;160;152,1189608;China;Weightlifting;Weightlifting Women's Light-Heavyweight;Gold
Liu Ou;F;21;168;110,231131;China;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Liu Yanan;F;27;186;160,9374513;China;Volleyball;Volleyball Women's Volleyball;Bronze
Liu Zige;F;19;181;154,3235834;China;Swimming;Swimming Women's 200 metres Butterfly;Gold
"Anastasiya Valeryevna ""Nastia"" Liukin";F;18;160;99,2080179;United States;Gymnastics;Gymnastics Women's Individual All-Around;Gold
"Anastasiya Valeryevna ""Nastia"" Liukin";F;18;160;99,2080179;United States;Gymnastics;Gymnastics Women's Team All-Around;Silver
"Anastasiya Valeryevna ""Nastia"" Liukin";F;18;160;99,2080179;United States;Gymnastics;Gymnastics Women's Floor Exercise;Bronze
"Anastasiya Valeryevna ""Nastia"" Liukin";F;18;160;99,2080179;United States;Gymnastics;Gymnastics Women's Uneven Bars;Silver
"Anastasiya Valeryevna ""Nastia"" Liukin";F;18;160;99,2080179;United States;Gymnastics;Gymnastics Women's Balance Beam;Silver
Joan Llaneras Rossell;M;39;180;143,3004703;Spain;Cycling;Cycling Men's Points Race;Gold
Joan Llaneras Rossell;M;39;180;143,3004703;Spain;Cycling;Cycling Men's Madison;Silver
Carli Anne Lloyd (-Hollins);F;26;170;141,0958477;United States;Football;Football Women's Football;Gold
Shereefa Lloyd;F;25;172;149,9143382;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Bronze
Nikita Konstantinovich Lobintsev;M;19;193;187,3929227;Russia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Ryan Steven Lochte;M;24;188;194,0067906;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Ryan Steven Lochte;M;24;188;194,0067906;United States;Swimming;Swimming Men's 200 metres Backstroke;Gold
Ryan Steven Lochte;M;24;188;194,0067906;United States;Swimming;Swimming Men's 200 metres Individual Medley;Bronze
Ryan Steven Lochte;M;24;188;194,0067906;United States;Swimming;Swimming Men's 400 metres Individual Medley;Bronze
"Eleanor ""Elle"" Logan";F;20;188;189,5975453;United States;Rowing;Rowing Women's Coxed Eights;Gold
Vasyl Anatoliyovich Lomachenko;M;20;170;132,2773572;Ukraine;Boxing;Boxing Men's Featherweight;Gold
Long Qingquan;M;17;150;123,4588667;China;Weightlifting;Weightlifting Men's Bantamweight;Gold
Fredrik Max Emil Lf;M;38;190;213,8483941;Sweden;Sailing;Sailing Men's Two Person Keelboat;Bronze
Priscilla Lopes-Schliep;F;25;163;147,7097155;Canada;Athletics;Athletics Women's 100 metres Hurdles;Bronze
Diana Lopez;F;24;178;127,868112;United States;Taekwondo;Taekwondo Women's Featherweight;Bronze
Laura Lpez Valle;F;20;168;130,0727346;Spain;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Mark Anthony Lopez;M;26;183;149,9143382;United States;Taekwondo;Taekwondo Men's Featherweight;Silver
Mijan Lpez Nez;M;25;198;286,6009406;Cuba;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman;Gold
Nicolas Pierre Lopez;M;27;180;132,2773572;France;Fencing;Fencing Men's Sabre, Individual;Silver
Nicolas Pierre Lopez;M;27;180;132,2773572;France;Fencing;Fencing Men's Sabre, Team;Gold
Ral Lpez Molist;M;28;184;176,3698096;Spain;Basketball;Basketball Men's Basketball;Silver
Steven Lopez;M;29;191;182,9836775;United States;Taekwondo;Taekwondo Men's Welterweight;Bronze
Caitlin Lowe;F;23;170;125,6634893;United States;Softball;Softball Women's Softball;Silver
Demetrio Lozano Jarque;M;32;196;220,462262;Spain;Handball;Handball Men's Handball;Bronze
Lu Chunlong;M;19;170;127,868112;China;Trampolining;Trampolining Men's Individual;Gold
Lu Ying-Chi;F;23;157;138,8912251;Chinese Taipei;Weightlifting;Weightlifting Women's Middleweight;Bronze
Lu Yong;M;22;175;187,3929227;China;Weightlifting;Weightlifting Men's Light-Heavyweight;Gold
Lu Yuanyang;F;25;174;119,0496215;China;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Lucas Pezzini Leiva;M;21;179;163,1420739;Brazil;Football;Football Men's Football;Bronze
Rosario Luchetti;F;24;160;125,6634893;Argentina;Hockey;Hockey Women's Hockey;Bronze
"Thomas David ""Tom"" Lucy";M;20;194;207,2345263;Great Britain;Rowing;Rowing Men's Coxed Eights;Silver
Yevgeniy Yuryevich Lukyanenko;M;23;190;174,165187;Russia;Athletics;Athletics Men's Pole Vault;Silver
Kristine Lunde-Borgersen;F;28;181;147,7097155;Norway;Handball;Handball Women's Handball;Gold
"Zinaida Igorevna ""Zina"" Lunina";F;19;175;121,2542441;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Luo Xi;F;20;166;119,0496215;China;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Thomas Peter Lurz;M;28;183;167,5513191;Germany;Swimming;Swimming Men's 10 kilometres Open Water;Bronze
Manuela Lutze;F;34;185;171,9605644;Germany;Rowing;Rowing Women's Quadruple Sculls;Bronze
Ma Lin;M;28;176;163,1420739;China;Table Tennis;Table Tennis Men's Singles;Gold
Ma Lin;M;28;176;163,1420739;China;Table Tennis;Table Tennis Men's Team;Gold
Ma Yibo;F;28;174;154,3235834;China;Hockey;Hockey Women's Hockey;Silver
Ma Yunwen;F;21;189;167,5513191;China;Volleyball;Volleyball Women's Volleyball;Bronze
Satoko Mabuchi;F;26;163;147,7097155;Japan;Softball;Softball Women's Softball;Gold
Linda June MacKenzie (-Single);F;24;161;114,6403762;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Norbert Madaras;M;28;191;200,6206584;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
"Elizabeth ""Beezie"" Madden (Patton-)";F;44;168;138,8912251;United States;Equestrianism;Equestrianism Mixed Jumping, Individual;Bronze
"Elizabeth ""Beezie"" Madden (Patton-)";F;44;168;138,8912251;United States;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Jens-Erik Madsen;M;27;180;158,7328286;Denmark;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Maurren Higa Maggi;F;32;173;134,4819798;Brazil;Athletics;Athletics Women's Long Jump;Gold
Christine Marie Magnuson;F;22;185;160,9374513;United States;Swimming;Swimming Women's 100 metres Butterfly;Silver
Christine Marie Magnuson;F;22;185;160,9374513;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Tomasz Majewski;M;26;204;313,056412;Poland;Athletics;Athletics Men's Shot Put;Gold
Satu Mkel-Nummela;F;37;169;138,8912251;Finland;Shooting;Shooting Women's Trap;Gold
Vadim Gennadyevich Makhnyov;M;28;196;220,462262;Belarus;Canoeing;Canoeing Men's Kayak Doubles, 500 metres;Bronze
Vadim Gennadyevich Makhnyov;M;28;196;220,462262;Belarus;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
Grgory Mallet;M;24;196;185,1883001;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Alexander Malleta Kerr;M;31;186;187,3929227;Cuba;Baseball;Baseball Men's Baseball;Silver
Cristian Malmagro Viaa;M;25;197;235,8946203;Spain;Handball;Handball Men's Handball;Bronze
Aset Sekenovich Mambetov;M;26;186;211,6437715;Kazakhstan;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;Bronze
Nazyr Yunuzovich Mankiyev;M;23;155;121,2542441;Russia;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Gold
Paul Christian Manning;M;33;189;167,5513191;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
James Marburg;M;25;191;207,2345263;Australia;Rowing;Rowing Men's Coxless Fours;Silver
"Marcelo ""Marcelinho"" Elgarten";M;33;183;171,9605644;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Marcelo Vieira da Silva Jnior;M;20;173;158,7328286;Brazil;Football;Football Men's Football;Bronze
Mrcio Henrique Barroso Arajo;M;34;192;196,2114132;Brazil-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Silver
Yekaterina Aleksandrovna Marennikova;F;26;176;154,3235834;Russia;Handball;Handball Women's Handball;Silver
"Mara Mercedes ""Mechi"" Margalot";F;33;159;114,6403762;Argentina;Hockey;Hockey Women's Hockey;Bronze
"Marianne ""Mari"" Steinbrecher";F;24;188;154,3235834;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
Hanna Emilie Marin;F;26;169;143,3004703;Belgium;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Aleksey Mikhaylovich Markov;M;29;181;178,5744322;Russia;Cycling;Cycling Men's Madison;Bronze
Christine Irene Marshall;F;21;165;145,5050929;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
"Louis Glenn ""Lou"" Marson";M;22;185;202,825281;United States;Baseball;Baseball Men's Baseball;Bronze
Marta Vieira da Silva;F;22;162;127,868112;Brazil;Football;Football Women's Football;Silver
Michal Martikn;M;29;170;160,9374513;Slovakia;Canoeing;Canoeing Men's Canadian Singles, Slalom;Gold
Iker Martnez de Lizarduy Lizarribar;M;31;173;154,3235834;Spain;Sailing;Sailing Mixed Skiff;Silver
Jonder Martnez Martnez;M;30;187;165,3466965;Cuba;Baseball;Baseball Men's Baseball;Silver
Glafira Sergeyevna Martinovich;F;19;176;127,868112;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Tigran Gevorg Martirosyan;M;20;;152,1189608;Armenia;Weightlifting;Weightlifting Men's Lightweight;Bronze
Tigran Varban Martirosyan;M;25;175;187,3929227;Armenia;Weightlifting;Weightlifting Men's Light-Heavyweight;Bronze
Linet Chepkwemoi Masai;F;18;;;Kenya;Athletics;Athletics Women's 10,000 metres;Bronze
Javier Alejandro Mascherano;M;24;171;145,5050929;Argentina;Football;Football Men's Football;Gold
Germaine Mason;M;25;195;176,3698096;Great Britain;Athletics;Athletics Men's High Jump;Silver
Richard Kipkemboi Mateelong;M;24;179;143,3004703;Kenya;Athletics;Athletics Men's 3,000 metres Steeplechase;Bronze
Eli Matheson;M;25;175;154,3235834;Australia;Hockey;Hockey Men's Hockey;Bronze
Michael Walter Mathieu;M;24;178;167,5513191;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Takeshi Matsuda;M;24;184;185,1883001;Japan;Swimming;Swimming Men's 200 metres Butterfly;Bronze
Tomohiro Matsunaga;M;28;163;121,2542441;Japan;Wrestling;Wrestling Men's Featherweight, Freestyle;Silver
Maurine Dorneles Gonalves;F;22;159;112,4357536;Brazil;Football;Football Women's Football;Silver
Misty Erie May-Treanor;F;31;175;158,7328286;United States-1;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Gold
"Andria ""Maycon"" dos Santos";F;31;155;123,4588667;Brazil;Football;Football Women's Football;Silver
Piotr Maachowski;M;25;193;286,6009406;Poland;Athletics;Athletics Men's Discus Throw;Silver
Franoise Mbango Etone;F;32;172;138,8912251;Cameroon;Athletics;Athletics Women's Triple Jump;Gold
Alicia McCormack;F;25;167;167,5513191;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Marcus McElhenney;M;27;163;121,2542441;United States;Rowing;Rowing Men's Coxed Eights;Bronze
"Cameron ""Maxi"" McKenzie-McHarg";M;28;196;216,0530168;Australia;Rowing;Rowing Men's Coxless Fours;Silver
Sally McLellan-Pearson;F;21;167;132,2773572;Australia;Athletics;Athletics Women's 100 metres Hurdles;Silver
Anna Maree Devenish Meares;F;24;165;154,3235834;Australia;Cycling;Cycling Women's Sprint;Silver
"Ana Isabel ""Anabel"" Medina Garrigues";F;26;169;130,0727346;Spain-1;Tennis;Tennis Women's Doubles;Silver
Chantal Olivia Meek;F;29;162;121,2542441;Australia;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Bronze
Niklas Meinert;M;27;181;176,3698096;Germany;Hockey;Hockey Men's Hockey;Gold
Mahiedine Mekhissi-Benabbad;M;23;190;165,3466965;France;Athletics;Athletics Men's 3,000 metres Steeplechase;Silver
Oussama Mellouli;M;24;192;185,1883001;Tunisia;Swimming;Swimming Men's 1,500 metres Freestyle;Gold
Chellsie Marie Memmel (-Maier);F;20;160;119,0496215;United States;Gymnastics;Gymnastics Women's Team All-Around;Silver
Jessica Mendoza (-Burks);F;27;173;145,5050929;United States;Softball;Softball Women's Softball;Silver
Meng Guanliang;M;31;185;198,4160358;China;Canoeing;Canoeing Men's Canadian Doubles, 500 metres;Gold
Gemma Mengual Civil;F;31;173;119,0496215;Spain;Synchronized Swimming;Synchronized Swimming Women's Duet;Silver
Gemma Mengual Civil;F;31;173;119,0496215;Spain;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Oksana Vladimirovna Menkova;F;26;186;187,3929227;Belarus;Athletics;Athletics Women's Hammer Throw;Gold
Yulis Gabriel Mercedes Reyes;M;28;163;127,868112;Dominican Republic;Taekwondo;Taekwondo Men's Flyweight;Silver
Rolando Merio Betancourt;M;37;187;207,2345263;Cuba;Baseball;Baseball Men's Baseball;Silver
Iryna Oleksivna Merleni-Mykulchyn (Melnyk-);F;26;156;105,8218858;Ukraine;Wrestling;Wrestling Women's Flyweight, Freestyle;Bronze
Rick Merlo;M;26;191;216,0530168;United States;Water Polo;Water Polo Men's Water Polo;Silver
LaShawn Merritt;M;22;191;189,5975453;United States;Athletics;Athletics Men's 400 metres;Gold
LaShawn Merritt;M;22;191;189,5975453;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
Lionel Andrs Messi Cuccittini;M;21;169;147,7097155;Argentina;Football;Football Men's Football;Gold
Anna Mickelson-Cummins;F;28;183;165,3466965;United States;Rowing;Rowing Women's Coxed Eights;Gold
Yelena Sergeyevna Migunova;F;24;168;127,868112;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Maksim Mikhaylovich Mikhaylov;M;20;202;227,0761299;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Beata Mikoajczyk;F;22;170;149,9143382;Poland;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Silver
Gina Miles;F;34;163;125,6634893;United States;Equestrianism;Equestrianism Mixed Three-Day Event, Individual;Silver
Ian Millar;M;61;185;167,5513191;Canada;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Ryan Madsen Millar;M;30;204;216,0530168;United States;Volleyball;Volleyball Men's Volleyball;Gold
Ramon Salomon Miller;M;21;180;147,7097155;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Randi Criner Miller;F;24;157;138,8912251;United States;Wrestling;Wrestling Women's Middleweight, Freestyle;Bronze
Alice Mary Mills (-Tait);F;22;175;138,8912251;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
DeLisha Lachell Milton-Jones;F;33;185;185,1883001;United States;Basketball;Basketball Women's Basketball;Gold
Ildik Mincza-Nbald;F;38;172;130,0727346;Hungary;Fencing;Fencing Women's epee, Individual;Bronze
Hans Peter Francois Minderhoud;M;34;190;165,3466965;Nadine;Equestrianism;Equestrianism Mixed Dressage, Team;Silver
Revaz Mindorashvili;M;32;175;185,1883001;Georgia;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle;Gold
Yukiyo Mine;F;20;166;138,8912251;Japan;Softball;Softball Women's Softball;Gold
Andrea Minguzzi;M;26;179;185,1883001;Italy;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman;Gold
Mvlud Mirliyev;M;34;183;227,0761299;Azerbaijan;Judo;Judo Men's Half-Heavyweight;Bronze
Hesham Hasan Misbah;M;26;176;198,4160358;Egypt;Judo;Judo Men's Middleweight;Bronze
Masumi Mishina;F;26;163;138,8912251;Japan;Softball;Softball Women's Softball;Gold
"Matthew John ""Matt"" Mitcham";M;20;174;147,7097155;Australia;Diving;Diving Men's Platform;Gold
Anja Mittag;F;23;168;127,868112;Germany;Football;Football Women's Football;Bronze
Heather Blaine Mitts (-Feeley);F;30;165;121,2542441;United States;Football;Football Women's Football;Gold
Junichi Miyashita;M;24;182;158,7328286;Japan;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
Mindaugas Mizgaitis;M;28;190;264,5547144;Lithuania;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman;Bronze
Elnur Mmmdli;M;20;175;160,9374513;Azerbaijan;Judo;Judo Men's Lightweight;Gold
Emma Moffatt;F;23;171;125,6634893;Australia;Triathlon;Triathlon Women's Olympic Distance;Bronze
Seyed Morad Mohammadi Pahnehkalaei;M;28;160;132,2773572;Iran;Wrestling;Wrestling Men's Lightweight, Freestyle;Bronze
Andrey Sergeyevich Moiseyev;M;29;195;182,9836775;Russia;Modern Pentathlon;Modern Pentathlon Men's Individual;Gold
Godfrey Khotso Mokoena;M;23;190;167,5513191;South Africa;Athletics;Athletics Men's Long Jump;Silver
Tams Molnr;M;33;193;229,2807525;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Avard Moncur;M;29;193;191,8021679;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Jan-Marco Montag;M;24;188;194,0067906;Germany;Hockey;Hockey Men's Hockey;Gold
Aldo Montano;M;29;184;180,7790548;Italy;Fencing;Fencing Men's Sabre, Team;Bronze
Daynellis Montejo Poll;F;23;167;108,0265084;Cuba;Taekwondo;Taekwondo Women's Flyweight;Bronze
Fabin Luciano Monzn;M;21;167;136,6866024;Argentina;Football;Football Men's Football;Gold
"Timothy Frank ""Tim"" Morehouse";M;30;188;200,6206584;United States;Fencing;Fencing Men's Sabre, Team;Silver
Jos Carlos Gomes Moreira;M;24;172;167,5513191;Brazil;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
Ftima Moreira de Melo;F;30;160;121,2542441;Netherlands;Hockey;Hockey Women's Hockey;Gold
Yipsi Moreno Gonzlez;F;27;175;171,9605644;Cuba;Athletics;Athletics Women's Hammer Throw;Silver
Simmone Anne Morrow;F;31;169;136,6866024;Australia;Softball;Softball Women's Softball;Bronze
Dorian Denis Mortelette;M;24;195;198,4160358;France;Rowing;Rowing Men's Coxless Fours;Bronze
Merrill Moses;M;30;191;213,8483941;United States;Water Polo;Water Polo Men's Water Polo;Silver
Tracey Mosley;F;34;170;160,9374513;Australia;Softball;Softball Women's Softball;Bronze
Tomasz Marek Motyka;M;27;176;165,3466965;Poland;Fencing;Fencing Men's epee, Team;Silver
Dimitris Mougios;M;26;191;158,7328286;Greece;Rowing;Rowing Men's Lightweight Double Sculls;Silver
Michael Mrkv (-Christiansen);M;23;183;152,1189608;Denmark;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Eefke Marije Mulder;F;30;177;138,8912251;Netherlands;Hockey;Hockey Women's Hockey;Gold
Mandy Mulder;F;21;170;134,4819798;Netherlands;Sailing;Sailing Women's Three Person Keelboat;Silver
"Maximillian ""Max"" Mller";M;21;185;176,3698096;Germany;Hockey;Hockey Men's Hockey;Gold
lex Mumbr Murcia;M;29;202;220,462262;Spain;Basketball;Basketball Men's Basketball;Silver
Mun Pil-Hui;F;25;168;136,6866024;South Korea;Handball;Handball Women's Handball;Bronze
Sharvani Gadzhikurbanovich Muradov;M;23;182;211,6437715;Russia;Wrestling;Wrestling Men's Heavyweight, Freestyle;Gold
Murilo Endres;M;27;190;167,5513191;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Patrick Murphy;M;24;190;194,0067906;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Patrick Murphy;M;24;190;194,0067906;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
David Vladimirovi Musubes;M;36;186;249,1223561;Slovakia;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle;Bronze
Marid Kamilyevich Mutalimov;M;28;187;264,5547144;Kazakhstan;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle;Bronze
Rafael Nadal Parera;M;22;185;176,3698096;Spain;Tennis;Tennis Men's Singles;Gold
Kiyofumi Nagai;M;25;175;178,5744322;Japan;Cycling;Cycling Men's Keirin;Bronze
Naidangiin Tvshinbayar;M;24;178;229,2807525;Mongolia;Judo;Judo Men's Half-Heavyweight;Gold
Misato Nakamura;F;19;157;114,6403762;Japan;Judo;Judo Women's Half-Lightweight;Bronze
Reiko Nakamura;F;26;166;121,2542441;Japan;Swimming;Swimming Women's 200 metres Backstroke;Bronze
Takuya Nakase;M;25;165;141,0958477;Japan;Gymnastics;Gymnastics Men's Team All-Around;Silver
Nam Hyeon-Hui;F;26;155;101,4126405;South Korea;Fencing;Fencing Women's Foil, Individual;Silver
Daniel Narcisse;M;28;189;205,0299037;France;Handball;Handball Men's Handball;Gold
Andr Luiz da Silva Nascimento;M;29;195;209,4391489;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Lilyana Natsir;F;22;169;136,6866024;Indonesia-1;Badminton;Badminton Mixed Doubles;Silver
Juan Carlos Navarro Feijoo;M;28;193;180,7790548;Spain;Basketball;Basketball Men's Basketball;Silver
Luis Miguel Navas Gonzlez;M;28;184;169,7559417;Cuba;Baseball;Baseball Men's Baseball;Silver
"Wincatherine Nyambura ""Catherine"" Ndereba";F;36;160;99,2080179;Kenya;Athletics;Athletics Women's Marathon;Silver
Blaine Neal;M;30;196;251,3269787;United States;Baseball;Baseball Men's Baseball;Bronze
Irina Sergeyevna Nekrasova;F;20;168;138,8912251;Kazakhstan;Weightlifting;Weightlifting Women's Middleweight;Silver
Mauro Nespoli;M;20;181;171,9605644;Italy;Archery;Archery Men's Team;Silver
Acer Gary Nethercott;M;30;174;121,2542441;Great Britain;Rowing;Rowing Men's Coxed Eights;Silver
Juan Carlos Nevado Gonzlez;M;25;171;163,1420739;Germany;Hockey;Hockey Men's Hockey;Gold
Thiago Neves Augusto;M;23;182;154,3235834;Brazil;Football;Football Men's Football;Bronze
David Neville;M;24;193;169,7559417;United States;Athletics;Athletics Men's 400 metres;Bronze
David Neville;M;24;193;169,7559417;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
"Christopher ""Chris"" Newton";M;34;181;152,1189608;Great Britain;Cycling;Cycling Men's Points Race;Bronze
Ni Hong;F;22;175;136,6866024;China;Fencing;Fencing Women's Sabre, Team;Silver
Minna Eliisa Nieminen;F;31;172;136,6866024;Finland;Rowing;Rowing Women's Lightweight Double Sculls;Silver
Viktoriya Aleksandrovna Nikishina;F;23;174;149,9143382;Russia;Fencing;Fencing Women's Foil, Team;Gold
Alexandros Nikolaidis;M;28;201;228,1784412;Greece;Taekwondo;Taekwondo Men's Heavyweight;Silver
Rohullah Nikpai;M;21;183;138,8912251;Afghanistan;Taekwondo;Taekwondo Men's Flyweight;Bronze
Stefan Nimke;M;30;186;207,2345263;Germany;Cycling;Cycling Men's Team Sprint;Bronze
Rei Nishiyama;F;24;167;136,6866024;Japan;Softball;Softball Women's Softball;Gold
Steliana Nistor;F;18;149;94,79877266;Romania;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Jayson Truett Edward Nix;M;25;180;196,2114132;United States;Baseball;Baseball Men's Baseball;Bronze
Denis Gennadyevich Nizhegorodov;M;28;174;138,8912251;Russia;Athletics;Athletics Men's 50 kilometres Walk;Bronze
Ogonna Nneka Nnamani;F;25;185;176,3698096;United States;Volleyball;Volleyball Women's Volleyball;Silver
Andrs Marcelo Nocioni Roux;M;28;201;224,8715072;Argentina;Basketball;Basketball Men's Basketball;Bronze
Sara Maria Evelina Nordenstam;F;25;169;154,3235834;Norway;Swimming;Swimming Women's 200 metres Breaststroke;Bronze
Anastasiya Aleksandrovna Novikova;F;26;150;116,8449989;Belarus;Weightlifting;Weightlifting Women's Featherweight;Bronze
Tonje Nstvold;F;23;178;;Norway;Handball;Handball Women's Handball;Gold
Stacey Annette Nuveman (-Deniz);F;30;183;240,3038656;United States;Softball;Softball Women's Softball;Silver
Katja Johanna Alice Nyberg;F;28;182;167,5513191;Norway;Handball;Handball Women's Handball;Gold
Lacey Pearl Nymeyer (-John);F;22;175;145,5050929;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
O Jong-Ae;F;24;153;132,2773572;North Korea;Weightlifting;Weightlifting Women's Lightweight;Bronze
O Sang-Eun;M;31;186;158,7328286;South Korea;Table Tennis;Table Tennis Men's Team;Bronze
O Seung-Hwan;M;26;178;202,825281;South Korea;Baseball;Baseball Men's Baseball;Gold
Christina Obergfll;F;26;175;174,165187;Germany;Athletics;Athletics Women's Javelin Throw;Bronze
Fabricio Ral Jess Oberto;M;35;208;253,5316013;Argentina;Basketball;Basketball Men's Basketball;Bronze
Victor Nsofor Obinna;M;21;180;174,165187;Nigeria;Football;Football Men's Football;Silver
Violetta Oblinger-Peters;F;30;170;119,0496215;Austria;Canoeing;Canoeing Women's Kayak Singles, Slalom;Bronze
Diego Occhiuzzi;M;27;180;167,5513191;Italy;Fencing;Fencing Men's Sabre, Team;Bronze
"Edward ""Eddie"" Ockenden";M;21;180;160,9374513;Australia;Hockey;Hockey Men's Hockey;Bronze
Vicyohandri Odeln Sanam;M;28;179;185,1883001;Cuba;Baseball;Baseball Men's Baseball;Silver
Osaz Peter Odemwingie;M;27;181;158,7328286;Nigeria;Football;Football Men's Football;Silver
Alexander Dale Oen;M;23;190;176,3698096;Norway;Swimming;Swimming Men's 100 metres Breaststroke;Silver
Chinedu Obasi Ogbuke;M;22;175;171,9605644;Nigeria;Football;Football Men's Football;Silver
Oh Seong-Ok;F;35;171;141,0958477;South Korea;Handball;Handball Women's Handball;Bronze
Oh Yeong-Ran;F;35;171;160,9374513;South Korea;Handball;Handball Women's Handball;Bronze
Christine Ijeoma Chika Ohuruogu;F;24;172;154,3235834;Great Britain;Athletics;Athletics Women's 400 metres;Gold
Blessing Okagbare (-Ighoteguonor);F;19;181;156,528206;Nigeria;Athletics;Athletics Women's Long Jump;Bronze
