Names;Sex;Age;Height;Weight;Team;Sport;Event;Medal
"Kanatbek Kubatovich ""Kanat"" Begaliyev";M;24;168;145,5050929;Kyrgyzstan;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Silver
Melanie Behringer;F;22;172;156,528206;Germany;Football;Football Women's Football;Bronze
Sofia Bekatorou (-Kosmatopoulos);F;30;172;136,6866024;Greece;Sailing;Sailing Women's Three Person Keelboat;Bronze
Kenenisa Bekele Beyecha;M;26;165;123,4588667;Ethiopia;Athletics;Athletics Men's 5,000 metres;Gold
Kenenisa Bekele Beyecha;M;26;165;123,4588667;Ethiopia;Athletics;Athletics Men's 10,000 metres;Gold
Jon Belaustegui Ruano;M;29;195;220,462262;Spain;Handball;Handball Men's Handball;Bronze
Alexei Bell Quintero;M;24;176;191,8021679;Cuba;Baseball;Baseball Men's Baseball;Silver
"Robin ""Rob"" Bell";M;30;193;191,8021679;Australia;Canoeing;Canoeing Men's Canadian Singles, Slalom;Bronze
Tibor Benedek;M;36;190;211,6437715;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Rolf-Gran Bengtsson;M;46;171;147,7097155;Sweden;Equestrianism;Equestrianism Mixed Jumping, Individual;Silver
Hasna Benhassi;F;30;166;103,6172631;Morocco;Athletics;Athletics Women's 800 metres;Bronze
Amar Benikhlef;M;26;186;198,4160358;Algeria;Judo;Judo Men's Middleweight;Silver
"Richard ""Ricky"" Berens";M;20;188;205,0299037;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Yury Viktorovich Berezhko;M;24;198;213,8483941;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Laura Kay Berg;F;33;168;134,4819798;United States;Softball;Softball Women's Softball;Silver
Lindsey Napela Berg;F;28;173;169,7559417;United States;Volleyball;Volleyball Women's Volleyball;Silver
Lobke Berkhout;F;27;183;154,3235834;Netherlands;Sailing;Sailing Women's Two Person Dinghy;Silver
Yanet Bermoy Acosta;F;21;154;105,8218858;Cuba;Judo;Judo Women's Extra-Lightweight;Silver
Alain Andr Louis Edmond Bernard;M;25;196;198,4160358;France;Swimming;Swimming Men's 50 metres Freestyle;Bronze
Alain Andr Louis Edmond Bernard;M;25;196;198,4160358;France;Swimming;Swimming Men's 100 metres Freestyle;Gold
Alain Andr Louis Edmond Bernard;M;25;196;198,4160358;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Miosz Bernatajtys;M;26;183;158,7328286;Poland;Rowing;Rowing Men's Lightweight Coxless Fours;Silver
Cdric Berrest;M;23;191;207,2345263;France;Rowing;Rowing Men's Quadruple Sculls;Bronze
Annemieke Marileen Bes;F;30;177;154,3235834;Netherlands;Sailing;Sailing Women's Three Person Keelboat;Silver
Tully Louise Bevilaqua (Crook-);F;36;165;145,5050929;Australia;Basketball;Basketball Women's Basketball;Silver
"Samuel Ryan ""Sam"" Bewley";M;21;192;176,3698096;New Zealand;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Hanna Volodymyrivna Bezsonova;F;24;174;108,0265084;Ukraine;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Individual;Bronze
Stephen Raj Bhavsar;M;27;169;119,0496215;United States;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Yuliya Valentinovna Bichik;F;25;184;185,1883001;Belarus;Rowing;Rowing Women's Coxless Pairs;Bronze
Sebastian Friedrich Felix Biederlack;M;26;176;160,9374513;Germany;Hockey;Hockey Men's Hockey;Gold
Abhinav Bindra;M;25;173;154,3235834;India;Shooting;Shooting Men's Air Rifle, 10 metres;Gold
Michael Allen Oswald Bingham;M;22;183;165,3466965;Great Britain;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
"Suzanne Brigit ""Sue"" Bird";F;27;175;145,5050929;United States;Basketball;Basketball Women's Basketball;Gold
Pter Biros;M;32;196;224,8715072;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Ole Bischof;M;28;180;178,5744322;Germany;Judo;Judo Men's Half-Middleweight;Gold
Leszek Robert Blanik;M;31;163;141,0958477;Poland;Gymnastics;Gymnastics Men's Horse Vault;Gold
Keston Bledman;M;20;180;194,0067906;Trinidad and Tobago;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Irina Valeryevna Bliznova;F;21;182;149,9143382;Russia;Handball;Handball Women's Handball;Silver
Aleksandr Viktorovich Bogdanovich;M;26;191;213,8483941;Belarus;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Gold
Andrey Viktorovich Bogdanovich;M;20;193;191,8021679;Belarus;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Gold
Timo Boll;M;27;181;163,1420739;Germany;Table Tennis;Table Tennis Men's Team;Silver
Usain St. Leo Bolt;M;21;196;209,4391489;Jamaica;Athletics;Athletics Men's 100 metres;Gold
Usain St. Leo Bolt;M;21;196;209,4391489;Jamaica;Athletics;Athletics Men's 200 metres;Gold
Bong Jung-Keun;M;28;190;209,4391489;South Korea;Baseball;Baseball Men's Baseball;Gold
Julien Bontemps;M;29;183;158,7328286;France;Sailing;Sailing Men's Windsurfer;Silver
Minke Gertine Booij;F;31;163;125,6634893;Netherlands;Hockey;Hockey Women's Hockey;Gold
Manut Boonjumnong;M;28;173;141,0958477;Thailand;Boxing;Boxing Men's Light-Welterweight;Silver
Carlos Austin Boozer, Jr.;M;26;206;257,9408465;United States;Basketball;Basketball Men's Basketball;Gold
Rasul Boqiev;M;25;175;160,9374513;Tajikistan;Judo;Judo Men's Lightweight;Bronze
Valeriy Viktorovich Borchin;M;21;178;138,8912251;Russia;Athletics;Athletics Men's 20 kilometres Walk;Gold
Olivia Borle;F;22;172;125,6634893;Belgium;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Kathrin Boron (-Kppen);F;38;184;169,7559417;Germany;Rowing;Rowing Women's Quadruple Sculls;Bronze
Marcelien Bos-de Koning;F;30;175;136,6866024;Netherlands;Sailing;Sailing Women's Two Person Dinghy;Silver
Edith Bosch;F;28;183;154,3235834;Netherlands;Judo;Judo Women's Middleweight;Bronze
"Christopher Wesson ""Chris"" Bosh";M;24;208;229,2807525;United States;Basketball;Basketball Men's Basketball;Gold
Thomas Bouhail;M;22;166;134,4819798;France;Gymnastics;Gymnastics Men's Horse Vault;Silver
Benjamin Kudjow Thomas Boukpeti;M;27;176;160,9374513;Togo;Canoeing;Canoeing Men's Kayak Singles, Slalom;Bronze
Mickal Stphane Bourgain;M;28;181;169,7559417;France;Cycling;Cycling Men's Sprint;Bronze
Mickal Stphane Bourgain;M;28;181;169,7559417;France;Cycling;Cycling Men's Team Sprint;Silver
"Frdric Thierry Roger ""Frd"" Bousquet";M;27;188;189,5975453;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Jodie Bowering;F;26;167;147,7097155;Australia;Softball;Softball Women's Softball;Bronze
Heather Erin Bown;F;29;188;198,4160358;United States;Volleyball;Volleyball Women's Volleyball;Silver
Shannon Leigh Boxx;F;31;172;147,7097155;United States;Football;Football Women's Football;Gold
Micah Nathan Boyd;M;26;191;209,4391489;United States;Rowing;Rowing Men's Coxed Eights;Bronze
Svetlana Anatolyevna Boyko;F;36;180;138,8912251;Russia;Fencing;Fencing Women's Foil, Team;Gold
"Jules Timothy ""Tim"" Brabants";M;31;189;194,0067906;Great Britain;Canoeing;Canoeing Men's Kayak Singles, 500 metres;Bronze
"Jules Timothy ""Tim"" Brabants";M;31;189;194,0067906;Great Britain;Canoeing;Canoeing Men's Kayak Singles, 1,000 metres;Gold
Oscar Ren Braison Vidal;M;23;188;297,6240537;Cuba;Judo;Judo Men's Heavyweight;Bronze
Iain Brambell;M;34;185;160,9374513;Canada;Rowing;Rowing Men's Lightweight Coxless Fours;Bronze
Ana Maria Florentina Brnz-Popescu;F;23;175;141,0958477;Romania;Fencing;Fencing Women's epee, Individual;Silver
Elaine Breeden (-Penrose);F;19;180;160,9374513;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Karoline Charlotte Dyhre Breivang;F;28;172;;Norway;Handball;Handball Women's Handball;Gold
