Name;Sex;Age_year;Height_cm;Weight_lbs;Country;Sport;Event;Medal
Thomas Gabriel Jrmie Baroukh;M;28;183;154,3235834;France;Rowing;Rowing Men's Lightweight Coxless Fours;Bronze
Bronte Amelia Arnold Barratt;F;27;171;130,0727346;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
"Jennifer Mae ""Jenny"" Barringer-Simpson";F;29;166;116,8449989;United States;Athletics;Athletics Women's 1,500 metres;Bronze
Mutaz Essa Barshim;M;25;190;143,3004703;Qatar;Athletics;Athletics Men's High Jump;Silver
Jacob Jepsen Barse;M;27;188;160,9374513;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Silver
Saskia Bartusiak;F;33;170;132,2773572;Germany;Football;Football Women's Football;Gold
Dimitri David Bascou;M;29;181;176,3698096;France;Athletics;Athletics Men's 110 metres Hurdles;Bronze
Fabio Basile;M;21;160;145,5050929;Italy;Judo;Judo Men's Half-Lightweight;Gold
Vitalina Igorevna Batsarashkina;F;19;162;132,2773572;Russia;Shooting;Shooting Women's Air Pistol, 10 metres;Silver
Mathieu Albert Daniel Bauderlique;M;27;185;178,5744322;France;Boxing;Boxing Men's Light-Heavyweight;Bronze
Robert Bauer;M;21;183;167,5513191;Germany;Football;Football Men's Football;Silver
Grgory Benot Baug;M;31;181;220,462262;France;Cycling;Cycling Men's Team Sprint;Bronze
Maxime Eugne Ren Beaumont;M;34;191;207,2345263;France;Canoeing;Canoeing Men's Kayak Singles, 200 metres;Silver
Nicole Elise Beck;F;28;168;145,5050929;Australia;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Gold
Janine Elizabeth Beckie;F;21;173;138,8912251;Canada;Football;Football Women's Football;Bronze
gatha Bednarczuk Rippel;F;33;182;154,3235834;Brazil-1;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Silver
Ludger Beerbaum;M;52;190;187,3929227;Germany;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
"Genevieve ""Gen"" Behrent";F;25;183;160,9374513;New Zealand;Rowing;Rowing Women's Coxless Pairs;Silver
Melanie Behringer;F;30;172;156,528206;Germany;Football;Football Women's Football;Gold
Milad Beigi Hareqani;M;25;197;176,3698096;Azerbaijan;Taekwondo;Taekwondo Men's Welterweight;Bronze
Ruth Beita Vila;F;37;191;158,7328286;Spain;Athletics;Athletics Women's High Jump;Gold
Jose Blanger;F;30;163;138,8912251;Canada;Football;Football Women's Football;Bronze
Mathew Belcher;M;33;173;136,6866024;Australia;Sailing;Sailing Men's Two Person Dinghy;Silver
Zhan Vensanovych Beleniuk;M;25;178;187,3929227;Ukraine;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman;Silver
Mireia Belmonte Garca;F;25;170;130,0727346;Spain;Swimming;Swimming Women's 200 metres Butterfly;Gold
Mireia Belmonte Garca;F;25;170;130,0727346;Spain;Swimming;Swimming Women's 400 metres Individual Medley;Bronze
Alexander Belonogoff;M;26;187;198,4160358;Australia;Rowing;Rowing Men's Quadruple Sculls;Silver
Olga Konstantinovna Belova-Gorbunova;F;22;169;132,2773572;Russia;Water Polo;Water Polo Women's Water Polo;Bronze
Anastasiya Yevgenyevna Belyakova;F;23;173;132,2773572;Russia;Boxing;Boxing Women's Lightweight;Bronze
David Sagitovich Belyavsky;M;24;165;121,2542441;Russia;Gymnastics;Gymnastics Men's Team All-Around;Silver
David Sagitovich Belyavsky;M;24;165;121,2542441;Russia;Gymnastics;Gymnastics Men's Parallel Bars;Bronze
Lars Bender;M;27;184;176,3698096;Germany;Football;Football Men's Football;Silver
Sven Bender;M;27;185;176,3698096;Germany;Football;Football Men's Football;Silver
Meaghan Benfeito;F;27;155;105,8218858;Canada;Diving;Diving Women's Platform;Bronze
Meaghan Benfeito;F;27;155;105,8218858;Canada;Diving;Diving Women's Synchronized Platform;Bronze
"Brittany ""Britt"" Benn";F;27;165;149,9143382;Canada;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Bronze
Karen Bennett;F;27;179;165,3466965;Great Britain;Rowing;Rowing Women's Coxed Eights;Silver
Mark Stewart Bennett;M;23;183;196,2114132;Great Britain;Rugby Sevens;Rugby Sevens Men's Rugby Sevens;Silver
Paul Bennett;M;27;207;220,462262;Great Britain;Rowing;Rowing Men's Coxed Eights;Gold
"Joseph ""Gunnar"" Bentz";M;20;196;185,1883001;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Matej Beu;M;28;196;182,9836775;Slovakia;Canoeing;Canoeing Men's Canadian Singles, Slalom;Silver
Mdlina Bere;F;23;186;165,3466965;Romania;Rowing;Rowing Women's Coxed Eights;Bronze
Stig Andr Berge;M;33;167;132,2773572;Norway;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Bronze
Emma Sofia Berglund;F;27;171;141,0958477;Sweden;Football;Football Women's Football;Silver
Nicole Beukers;F;25;170;145,5050929;Netherlands;Rowing;Rowing Women's Quadruple Sculls;Silver
Allison Beveridge;F;23;169;136,6866024;Canada;Cycling;Cycling Women's Team Pursuit;Bronze
Roberta Bianconi;F;27;176;167,5513191;Italy;Water Polo;Water Polo Women's Water Polo;Silver
"Daniel ""Dan"" Bibby";M;25;176;189,5975453;Great Britain;Rugby Sevens;Rugby Sevens Men's Rugby Sevens;Silver
Fiona Clare Bigwood;F;40;173;165,3466965;Great Britain;Equestrianism;Equestrianism Mixed Dressage, Team;Silver
Marko Bija;M;25;201;187,3929227;Croatia;Water Polo;Water Polo Men's Water Polo;Silver
