Name;Sex;Age_year;Height_cm;Weight_lbs;Country;Sport;Event;Medal
Laura Ludwig;F;30;181;154,3235834;Germany-1;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Gold
Yasmany Daniel Lugo Cabrera;M;26;190;216,0530168;Cuba;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;Silver
Luiz Felipe Marques Fonteles;M;32;196;196,2114132;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Megan Lukan;F;24;170;127,868112;Canada;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Bronze
Kristine Lunde-Borgersen;F;36;181;147,7097155;Norway;Handball;Handball Women's Handball;Bronze
Daniele Lupo;M;25;183;169,7559417;Italy-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Silver
Lock Luypaert;M;24;181;171,9605644;Belgium;Hockey;Hockey Men's Hockey;Silver
Ma Long;M;27;175;158,7328286;China;Table Tennis;Table Tennis Men's Singles;Gold
Ma Long;M;27;175;158,7328286;China;Table Tennis;Table Tennis Men's Team;Gold
Marko Macan;M;23;196;240,3038656;Croatia;Water Polo;Water Polo Men's Water Polo;Silver
Brittany MacLean;F;22;172;154,3235834;Canada;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
"Rosannagh ""Rosie"" MacLennan";F;27;158;119,0496215;Canada;Trampolining;Trampolining Women's Individual;Gold
Hannah Louise Macleod;F;32;172;147,7097155;Great Britain;Hockey;Hockey Women's Hockey;Gold
Milan Mavan;M;26;205;235,8946203;Serbia;Basketball;Basketball Men's Basketball;Silver
Natalia Madaj;F;28;175;149,9143382;Poland;Rowing;Rowing Women's Double Sculls;Gold
"Elizabeth ""Beezie"" Madden (Patton-)";F;52;168;138,8912251;United States;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Tianna Madison-Bartoletta;F;30;168;127,868112;United States;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Tianna Madison-Bartoletta;F;30;168;127,868112;United States;Athletics;Athletics Women's Long Jump;Gold
Frederik Rodenberg Madsen;M;18;187;160,9374513;Denmark;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Mark Overgaard Madsen;M;31;177;176,3698096;Denmark;Wrestling;Wrestling Men's Middleweight, Greco-Roman;Silver
Kingsley Madu;M;20;171;174,165187;Nigeria;Football;Football Men's Football;Bronze
Mihaela Maevska;F;25;172;119,0496215;Bulgaria;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
James Magnussen;M;25;198;207,2345263;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Kentin Mah;M;25;186;182,9836775;France;Handball;Handball Men's Handball;Silver
Leonie Rebekka Maier;F;23;163;136,6866024;Germany;Football;Football Women's Football;Gold
Sandrine Mainville;F;24;173;143,3004703;Canada;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Rafa Majka;M;26;173;134,4819798;Poland;Cycling;Cycling Men's Road Race, Individual;Bronze
Yekaterina Valeryevna Makarova;F;28;176;143,3004703;Russia-2;Tennis;Tennis Women's Doubles;Gold
Taoufik Makhloufi;M;28;170;147,7097155;Algeria;Athletics;Athletics Men's 800 metres;Silver
Taoufik Makhloufi;M;28;170;147,7097155;Algeria;Athletics;Athletics Men's 1,500 metres;Silver
Anastasiya Ivanovna Maksimova;F;25;170;110,231131;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Hedaya Ahmad Malak Wahba;F;23;174;125,6634893;Egypt;Taekwondo;Taekwondo Women's Featherweight;Bronze
Tijana Maleevi;F;25;185;171,9605644;Serbia;Volleyball;Volleyball Women's Volleyball;Silver
Sakshi Malik;F;23;162;127,868112;India;Wrestling;Wrestling Women's Lightweight, Freestyle;Bronze
"Alexandra Maria ""Alex"" Maloney";F;24;158;123,4588667;New Zealand;Sailing;Sailing Women's Skiff;Silver
Mariya Ruslanovna Mamoshuk;F;23;163;143,3004703;Belarus;Wrestling;Wrestling Women's Middleweight, Freestyle;Silver
Margarita Abdullayevna Mamun;F;20;170;110,231131;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Individual;Gold
Florent Manaudou;M;25;199;218,2576394;France;Swimming;Swimming Men's 50 metres Freestyle;Silver
Florent Manaudou;M;25;199;218,2576394;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Duan Mandi;M;22;202;231,4853751;Serbia;Water Polo;Water Polo Men's Water Polo;Gold
Panagiotis Mantis;M;34;180;143,3004703;Greece;Sailing;Sailing Men's Two Person Dinghy;Bronze
Huriana Manuel;F;29;166;143,3004703;New Zealand;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Silver
Simone Ashley Manuel;F;20;178;160,9374513;United States;Swimming;Swimming Women's 50 metres Freestyle;Silver
Simone Ashley Manuel;F;20;178;160,9374513;United States;Swimming;Swimming Women's 100 metres Freestyle;Gold
Simone Ashley Manuel;F;20;178;160,9374513;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Simone Ashley Manuel;F;20;178;160,9374513;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Luvo Manyonga;M;25;;;South Africa;Athletics;Athletics Men's Long Jump;Silver
Gyuzel Tagirovna Manyurova;F;38;174;165,3466965;Kazakhstan;Wrestling;Wrestling Women's Heavyweight, Freestyle;Silver
Mao Yi;F;16;151;77,1617917;China;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Katy Louise Marchant;F;23;170;158,7328286;Great Britain;Cycling;Cycling Women's Sprint;Bronze
Igor Mareni;M;30;173;154,3235834;Croatia;Sailing;Sailing Men's Two Person Dinghy;Gold
Yekaterina Aleksandrovna Marennikova;F;34;176;154,3235834;Russia;Handball;Handball Women's Handball;Gold
Cyrille Maret;M;28;189;238,099243;France;Judo;Judo Men's Half-Heavyweight;Bronze
Melanie Margalis;F;24;173;143,3004703;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Arthur Nory Oyakawa Mariano;M;22;169;143,3004703;Brazil;Gymnastics;Gymnastics Men's Floor Exercise;Bronze
Carolina Mara Marn Marn;F;23;172;143,3004703;Spain;Badminton;Badminton Women's Singles;Gold
Stefan Markovi;M;28;199;211,6437715;Serbia;Basketball;Basketball Men's Basketball;Silver
Helen Louise Maroulis;F;24;163;125,6634893;United States;Wrestling;Wrestling Women's Featherweight, Freestyle;Gold
Dzsenifer Marozsn;F;24;171;149,9143382;Germany;Football;Football Women's Football;Gold
"Marcos ""Marquinhos"" Aos Corra";M;22;185;165,3466965;Brazil;Football;Football Men's Football;Gold
Damir Martin;M;28;189;213,8483941;Croatia;Rowing;Rowing Men's Single Sculls;Silver
Yurberjen Herney Martnez Rivas;M;24;165;108,0265084;Colombia;Boxing;Boxing Men's Light-Flyweight;Silver
Simon Martirosyan;M;19;181;231,4853751;Armenia;Weightlifting;Weightlifting Men's Heavyweight;Silver
Anita Mrton;F;27;172;209,4391489;Hungary;Athletics;Athletics Women's Shot Put;Bronze
Kei Marumo;F;24;160;110,231131;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Vladimir Anatolyevich Maslennikov;M;21;171;160,9374513;Russia;Shooting;Shooting Men's Air Rifle, 10 metres;Bronze
Kylie Jacqueline Masse;F;20;173;134,4819798;Canada;Swimming;Swimming Women's 100 metres Backstroke;Bronze
Kelly Massey;F;31;178;125,6634893;Great Britain;Athletics;Athletics Women's 4 x 400 metres Relay;Bronze
Alexander Chen Massialas;M;22;188;178,5744322;United States;Fencing;Fencing Men's Foil, Individual;Silver
Alexander Chen Massialas;M;22;188;178,5744322;United States;Fencing;Fencing Men's Foil, Team;Bronze
Luca Masso;M;22;186;180,7790548;Argentina;Hockey;Hockey Men's Hockey;Gold
Viliame Sevaka Mata;M;24;196;233,6899977;Fiji;Rugby Sevens;Rugby Sevens Men's Rugby Sevens;Gold
Diana Beverly Matheson;F;32;153;119,0496215;Canada;Football;Football Women's Football;Bronze
Courtney Lynn Kaiulani  Mathewson;F;29;171;152,1189608;United States;Water Polo;Water Polo Women's Water Polo;Gold
Michael Walter Mathieu;M;32;178;167,5513191;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
Takeshi Matsuda;M;32;184;185,1883001;Japan;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Kaori Matsumoto;F;28;163;125,6634893;Japan;Judo;Judo Women's Lightweight;Bronze
Misaki Matsutomo;F;24;160;110,231131;Japan;Badminton;Badminton Women's Doubles;Gold
Bethanie Lynn Mattek-Sands;F;31;168;145,5050929;United States-2;Tennis;Tennis Mixed Doubles;Gold
Peter Matthews;M;26;188;185,1883001;Jamaica;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Sofia Magdalena Mattsson;F;26;164;123,4588667;Sweden;Wrestling;Wrestling Women's Featherweight, Freestyle;Bronze
Marie Mvers;F;25;170;147,7097155;Germany;Hockey;Hockey Women's Hockey;Bronze
Philipp Max;M;22;177;167,5513191;Germany;Football;Football Men's Football;Silver
Kvin Mayer;M;24;186;169,7559417;France;Athletics;Athletics Men's Decathlon;Silver
Agustn Alejandro Mazzilli;M;27;173;169,7559417;Argentina;Hockey;Hockey Men's Hockey;Gold
Piotr Maachowski;M;33;193;286,6009406;Poland;Athletics;Athletics Men's Discus Throw;Silver
Kayla McAlister;F;27;169;154,3235834;New Zealand;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Silver
Shona Clare McCallin;F;24;165;152,1189608;Great Britain;Hockey;Hockey Women's Hockey;Gold
Eliza McCartney;F;19;179;145,5050929;New Zealand;Athletics;Athletics Women's Pole Vault;Bronze
Ruaridh Lawson McConnochie;M;24;190;205,0299037;Great Britain;Rugby Sevens;Rugby Sevens Men's Rugby Sevens;Silver
Francena Lynette McCorory;F;27;171;149,9143382;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Angel Lajuane McCoughtry;F;29;185;154,3235834;United States;Basketball;Basketball Women's Basketball;Gold
Rusheen McDonald;M;23;175;178,5744322;Jamaica;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Cameron McEvoy;M;22;185;154,3235834;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Cameron McEvoy;M;22;185;154,3235834;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
Emma McKeon;F;22;180;132,2773572;Australia;Swimming;Swimming Women's 200 metres Freestyle;Bronze
Emma McKeon;F;22;180;132,2773572;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Emma McKeon;F;22;180;132,2773572;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
Emma McKeon;F;22;180;132,2773572;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Taylor McKeown;F;21;178;143,3004703;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Anneisha McLaughlin-Whilby;F;30;170;143,3004703;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Omar McLeod;M;22;180;;Jamaica;Athletics;Athletics Men's 110 metres Hurdles;Gold
Stephenie Ann McPherson;F;27;173;125,6634893;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Tony McQuay;M;26;181;158,7328286;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
James McRae;M;29;193;205,0299037;Australia;Rowing;Rowing Men's Quadruple Sculls;Silver
Anna Maree Devenish Meares;F;32;165;154,3235834;Australia;Cycling;Cycling Women's Keirin;Bronze
"Christopher James ""Chris"" Mears";M;23;172;154,3235834;Great Britain;Diving;Diving Men's Synchronized Springboard;Gold
Molly Meech;F;23;178;163,1420739;New Zealand;Sailing;Sailing Women's Skiff;Silver
Sam Meech;M;25;183;178,5744322;New Zealand;Sailing;Sailing Men's One Person Dinghy;Bronze
Robert Meeuwsen;M;28;207;202,825281;Netherlands-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Bronze
"Catherine Michelle ""Katie"" Meili";F;25;170;134,4819798;United States;Swimming;Swimming Women's 100 metres Breaststroke;Bronze
"Catherine Michelle ""Katie"" Meili";F;25;170;134,4819798;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Gerek Lin Meinhardt;M;26;183;176,3698096;United States;Fencing;Fencing Men's Foil, Team;Bronze
Mahiedine Mekhissi-Benabbad;M;31;190;165,3466965;France;Athletics;Athletics Men's 3,000 metres Steeplechase;Bronze
Bektemir Ruzmatzhonovich Melikuziyev;M;20;177;165,3466965;Uzbekistan;Boxing;Boxing Men's Middleweight;Silver
Angelina Romanovna Melnikova;F;16;151;97,00339528;Russia;Gymnastics;Gymnastics Women's Team All-Around;Silver
Meng Suping;F;27;173;271,1685823;China;Weightlifting;Weightlifting Women's Super-Heavyweight;Gold
Joaqun Menini;M;24;182;167,5513191;Argentina;Hockey;Hockey Men's Hockey;Gold
Florin Mergea;M;31;180;167,5513191;Romania;Tennis;Tennis Men's Doubles;Silver
LaShawn Merritt;M;30;191;189,5975453;United States;Athletics;Athletics Men's 400 metres;Bronze
LaShawn Merritt;M;30;191;189,5975453;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
Mehdy Metella;M;24;190;198,4160358;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Maximilian Meyer;M;20;173;132,2773572;Germany;Football;Football Men's Football;Silver
Boaz Cornelius Meylink;M;32;195;205,0299037;Netherlands;Rowing;Rowing Men's Coxed Eights;Bronze
William Meynard;M;29;190;187,3929227;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Meredith T. Michaels-Beerbaum;F;46;162;112,4357536;Germany;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
Monika Ewa Michalik (Rogien-);F;36;167;138,8912251;Poland;Wrestling;Wrestling Women's Middleweight, Freestyle;Bronze
Clment Mignon;M;23;187;165,3466965;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Brankica Mihajlovi;F;25;190;182,9836775;Serbia;Volleyball;Volleyball Women's Volleyball;Silver
"John Michael Nchekwube Obinna ""John Mikel Obi"" Mikel";M;29;179;189,5975453;Nigeria;Football;Football Men's Football;Bronze
Beata Mikoajczyk;F;30;170;149,9143382;Poland;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Bronze
Cody Miller;M;24;180;176,3698096;United States;Swimming;Swimming Men's 100 metres Breaststroke;Bronze
Cody Miller;M;24;180;176,3698096;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Shaunae Miller (-Uibo);F;22;185;152,1189608;Bahamas;Athletics;Athletics Women's 400 metres;Gold
Hannah Louise Mills;F;28;157;110,231131;Great Britain;Sailing;Sailing Women's Two Person Dinghy;Gold
Stephen Milne;M;22;185;167,5513191;Great Britain;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Jelena Milovanovi;F;27;190;185,1883001;Serbia;Basketball;Basketball Women's Basketball;Bronze
Gor Minasyan;M;21;180;308,6471668;Armenia;Weightlifting;Weightlifting Men's Super-Heavyweight;Silver
Jevaughn Minzie;M;21;178;187,3929227;Jamaica;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Nikola Miroti Stajovi;M;25;208;220,462262;Spain;Basketball;Basketball Men's Basketball;Bronze
Taras Viktorovych Mishchuk;M;21;187;187,3929227;Ukraine;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Bronze
Ethan Mitchell;M;25;180;182,9836775;New Zealand;Cycling;Cycling Men's Team Sprint;Silver
Tom Mitchell;M;27;178;187,3929227;Great Britain;Rugby Sevens;Rugby Sevens Men's Rugby Sevens;Silver
Branislav Mitrovi;M;31;201;220,462262;Serbia;Water Polo;Water Polo Men's Water Polo;Gold
Stefan Mitrovi;M;28;195;200,6206584;Serbia;Water Polo;Water Polo Men's Water Polo;Gold
Risako Mitsui;F;22;168;125,6634893;Japan;Synchronized Swimming;Synchronized Swimming Women's Duet;Bronze
Risako Mitsui;F;22;168;125,6634893;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Anja Mittag;F;31;168;127,868112;Germany;Football;Football Women's Football;Gold
Hiromi Miyake;F;30;145;105,8218858;Japan;Weightlifting;Weightlifting Women's Flyweight;Bronze
Jun Mizutani;M;27;172;138,8912251;Japan;Table Tennis;Table Tennis Men's Singles;Bronze
Jun Mizutani;M;27;172;138,8912251;Japan;Table Tennis;Table Tennis Men's Team;Silver
Lourdes Mohedano Snchez de Mora;F;21;173;116,8449989;Spain;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Kayla Moleschi;F;25;159;143,3004703;Canada;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Bronze
Mari Kristine Sbstad Molid;F;25;178;160,9374513;Norway;Handball;Handball Women's Handball;Bronze
Telma Alexandra Pinto Monteiro;F;30;161;125,6634893;Portugal;Judo;Judo Women's Lightweight;Bronze
Domenico Montrone;M;30;189;213,8483941;Italy;Rowing;Rowing Men's Coxless Fours;Bronze
Maya April Moore;F;27;183;174,165187;United States;Basketball;Basketball Women's Basketball;Gold
Sohrab Moradi;M;27;170;213,8483941;Iran;Weightlifting;Weightlifting Men's Middle-Heavyweight;Gold
David Morgan;M;22;184;180,7790548;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
Sandi Morris;F;24;173;136,6866024;United States;Athletics;Athletics Women's Pole Vault;Silver
Casper Ulrich Mortensen;M;26;190;194,0067906;Denmark;Handball;Handball Men's Handball;Gold
Lus Javier Mosquera Lozano;M;21;165;141,0958477;Colombia;Weightlifting;Weightlifting Men's Lightweight;Bronze
Estelle Mossely;F;23;168;132,2773572;France;Boxing;Boxing Women's Lightweight;Gold
Nora Mrk;F;25;168;138,8912251;Norway;Handball;Handball Women's Handball;Bronze
Beslan Zaudinovich Mudranov;M;30;166;132,2773572;Russia;Judo;Judo Men's Extra-Lightweight;Gold
Dalilah Muhammad;F;26;173;121,2542441;United States;Athletics;Athletics Women's 400 metres Hurdles;Gold
Ibtihaj Muhammad;F;30;170;149,9143382;United States;Fencing;Fencing Women's Sabre, Team;Bronze
Lutalo Massop-Muhammad;M;25;191;176,3698096;Great Britain;Taekwondo;Taekwondo Men's Welterweight;Silver
Usman Edu Muhammed;M;22;169;171,9605644;Nigeria;Football;Football Men's Football;Bronze
Julia Mller;F;30;170;156,528206;Germany;Hockey;Hockey Women's Hockey;Bronze
Mathias Mller;M;24;187;176,3698096;Germany;Hockey;Hockey Men's Hockey;Bronze
Janne Mller-Wieland;F;29;175;152,1189608;Germany;Hockey;Hockey Women's Hockey;Bronze
Maximilian Munski;M;28;195;211,6437715;Germany;Rowing;Rowing Men's Coxed Eights;Silver
Annalise Murphy;F;26;184;158,7328286;Ireland;Sailing;Sailing Women's One Person Dinghy;Silver
Clayton Murphy;M;21;180;149,9143382;United States;Athletics;Athletics Men's 800 metres;Bronze
Kelly Murphy;F;26;188;169,7559417;United States;Volleyball;Volleyball Women's Volleyball;Bronze
Ryan Murphy;M;21;191;200,6206584;United States;Swimming;Swimming Men's 100 metres Backstroke;Gold
Ryan Murphy;M;21;191;200,6206584;United States;Swimming;Swimming Men's 200 metres Backstroke;Gold
Ryan Murphy;M;21;191;200,6206584;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
"Andrew Barron ""Andy"" Murray";M;29;190;182,9836775;Great Britain;Tennis;Tennis Men's Singles;Gold
Eric Gordon Murray;M;34;195;216,0530168;New Zealand;Rowing;Rowing Men's Coxless Pairs;Gold
Meghan Musnicki;F;33;183;160,9374513;United States;Rowing;Rowing Women's Coxed Eights;Gold
"Madeline ""Maddie"" Musselman";F;18;181;143,3004703;United States;Water Polo;Water Polo Women's Water Polo;Gold
Aliya Farkhatovna Mustafina;F;21;162;105,8218858;Russia;Gymnastics;Gymnastics Women's Individual All-Around;Bronze
Aliya Farkhatovna Mustafina;F;21;162;105,8218858;Russia;Gymnastics;Gymnastics Women's Team All-Around;Silver
Aliya Farkhatovna Mustafina;F;21;162;105,8218858;Russia;Gymnastics;Gymnastics Women's Uneven Bars;Gold
Denis Myk;M;20;189;198,4160358;Slovakia;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Silver
Rafael Nadal Parera;M;30;185;176,3698096;Spain-2;Tennis;Tennis Men's Doubles;Gold
"Alexander Michael ""Alex"" Naddour";M;25;170;154,3235834;United States;Gymnastics;Gymnastics Men's Pommelled Horse;Bronze
Takanori Nagase;M;22;181;178,5744322;Japan;Judo;Judo Men's Half-Middleweight;Bronze
Nikita Vladimirovich Nagorny;M;19;166;147,7097155;Russia;Gymnastics;Gymnastics Men's Team All-Around;Silver
Karolina Naja;F;26;165;138,8912251;Poland;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Bronze
Kanami Nakamaki;F;24;167;127,868112;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Mai Nakamura;F;27;163;123,4588667;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Misato Nakamura;F;27;157;114,6403762;Japan;Judo;Judo Women's Half-Lightweight;Bronze
Leone Nakarawa;M;28;198;240,3038656;Fiji;Rugby Sevens;Rugby Sevens Men's Rugby Sevens;Gold
Daniel Narcisse;M;36;189;205,0299037;France;Handball;Handball Men's Handball;Silver
George Christopher Nash;M;26;195;211,6437715;Great Britain;Rowing;Rowing Men's Coxless Fours;Gold
Tyla Nathan-Wong;F;22;163;127,868112;New Zealand;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Silver
Lilyana Natsir;F;30;169;136,6866024;Indonesia-1;Badminton;Badminton Mixed Doubles;Gold
Darya Sergeyevna Naumova;F;20;165;167,5513191;Belarus;Weightlifting;Weightlifting Women's Heavyweight;Silver
Juan Carlos Navarro Feijoo;M;36;193;180,7790548;Spain;Basketball;Basketball Men's Basketball;Bronze
Ikhtiyor Karimovich Navruzov;M;27;165;143,3004703;Uzbekistan;Wrestling;Wrestling Men's Welterweight, Freestyle;Bronze
Tsvetelina Biserova Naydenova;F;22;168;108,0265084;Bulgaria;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Dilshod Nazarov;M;34;187;264,5547144;Tajikistan;Athletics;Athletics Men's Hammer Throw;Gold
Astou Barro Ndour Gueye;F;21;195;149,9143382;Spain;Basketball;Basketball Women's Basketball;Silver
Lia Neal;F;21;178;165,3466965;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Leah Neale;F;21;173;145,5050929;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
Nemanja Nedovi;M;25;191;198,4160358;Serbia;Basketball;Basketball Men's Basketball;Silver
Daryll Saskia Neita;F;19;172;134,4819798;Great Britain;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Kiley Neushul;F;23;173;143,3004703;United States;Water Polo;Water Polo Women's Water Polo;Gold
Stephen Newbold;M;21;191;180,7790548;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
Neymar da Silva Santos Jnior;M;24;174;141,0958477;Brazil;Football;Football Men's Football;Gold
Timothey N'Guessan;M;23;186;231,4853751;France;Handball;Handball Men's Handball;Silver
Haby Niar;F;23;176;145,5050929;France;Taekwondo;Taekwondo Women's Welterweight;Silver
Laura Nicholls Gonzlez;F;27;190;198,4160358;Spain;Basketball;Basketball Women's Basketball;Silver
Paolo Nicolai;M;27;203;200,6206584;Italy-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Silver
Astier Nicolas;M;27;180;154,3235834;France;Equestrianism;Equestrianism Mixed Three-Day Event, Individual;Silver
Astier Nicolas;M;27;180;154,3235834;France;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
Michael Damgaard Nielsen;M;26;192;202,825281;Denmark;Handball;Handball Men's Handball;Gold
Mie stergaard Nielsen;F;19;184;147,7097155;Denmark;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Bronze
Simon Niepmann;M;31;180;156,528206;Switzerland;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Slobodan Niki;M;33;197;233,6899977;Serbia;Water Polo;Water Polo Men's Water Polo;Gold
Vladimir Olegovich Nikitin;M;26;165;123,4588667;Russia;Boxing;Boxing Men's Bantamweight;Bronze
Jelena Nikoli;F;34;194;174,165187;Serbia;Volleyball;Volleyball Women's Volleyball;Silver
Gnonsiane Niombla;F;26;172;152,1189608;France;Handball;Handball Women's Handball;Silver
Kei Nishikori;M;26;178;163,1420739;Japan;Tennis;Tennis Men's Singles;Bronze
Koki Niwa;M;21;162;112,4357536;Japan;Table Tennis;Table Tennis Men's Team;Silver
Adilbek Sabitovich Niyazymbetov;M;27;180;178,5744322;Kazakhstan;Boxing;Boxing Men's Light-Heavyweight;Silver
Francine Niyonsaba;F;23;166;132,2773572;Burundi;Athletics;Athletics Women's 800 metres;Silver
Alessandro Nora;M;29;191;187,3929227;Italy;Water Polo;Water Polo Men's Water Polo;Bronze
"Daniel James ""Dan"" Norton";M;28;180;187,3929227;Great Britain;Rugby Sevens;Rugby Sevens Men's Rugby Sevens;Silver
Oktawia Nowacka;F;25;180;132,2773572;Poland;Modern Pentathlon;Modern Pentathlon Women's Individual;Bronze
Wojciech Nowicki;M;27;196;282,1916954;Poland;Athletics;Athletics Men's Hammer Throw;Bronze
Jesper Nddesbo;M;35;199;220,462262;Denmark;Handball;Handball Men's Handball;Gold
Ruslan Nurudinov;M;24;183;240,3038656;Uzbekistan;Weightlifting;Weightlifting Men's Heavyweight;Gold
Guy Olivier Nyokas;M;30;189;189,5975453;France;Handball;Handball Men's Handball;Silver
Estelle Nze Minko;F;24;178;147,7097155;France;Handball;Handball Women's Handball;Silver
Patricia Obee;F;24;165;132,2773572;Canada;Rowing;Rowing Women's Lightweight Double Sculls;Silver
Hellen Onsando Obiri;F;26;160;110,231131;Kenya;Athletics;Athletics Women's 5,000 metres;Silver
Siobhan-Marie O'Connor;F;20;173;132,2773572;Great Britain;Swimming;Swimming Women's 200 metres Individual Medley;Silver
Hannes Ocik;M;25;191;205,0299037;Germany;Rowing;Rowing Men's Coxed Eights;Silver
Gary O'Donovan;M;23;172;154,3235834;Ireland;Rowing;Rowing Men's Lightweight Double Sculls;Silver
Paul O'Donovan;M;22;177;154,3235834;Ireland;Rowing;Rowing Men's Lightweight Double Sculls;Silver
Stine Bredal Oftedal;F;24;168;143,3004703;Norway;Handball;Handball Women's Handball;Bronze
Maja Ognjenovi;F;31;183;147,7097155;Serbia;Volleyball;Volleyball Women's Volleyball;Silver
Oh Hye-Ri;F;28;182;152,1189608;South Korea;Taekwondo;Taekwondo Women's Welterweight;Gold
Christine Ijeoma Chika Ohuruogu;F;32;172;154,3235834;Great Britain;Athletics;Athletics Women's 4 x 400 metres Relay;Bronze
Poliana Okimoto-Cintra;F;33;165;114,6403762;Brazil;Swimming;Swimming Women's 10 kilometres Open Water;Bronze
Courtney Okolo;F;22;173;130,0727346;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Nozomi Okuhara;F;21;156;112,4357536;Japan;Badminton;Badminton Women's Singles;Bronze
Pia-Sophie Oldhafer;F;24;166;121,2542441;Germany;Hockey;Hockey Women's Hockey;Bronze
"Penelope ""Penny"" Oleksiak";F;16;185;149,9143382;Canada;Swimming;Swimming Women's 100 metres Freestyle;Gold
"Penelope ""Penny"" Oleksiak";F;16;185;149,9143382;Canada;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
"Penelope ""Penny"" Oleksiak";F;16;185;149,9143382;Canada;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
"Penelope ""Penny"" Oleksiak";F;16;185;149,9143382;Canada;Swimming;Swimming Women's 100 metres Butterfly;Silver
